Outcome	Date	Tournament	Surface	Opponent	Score
Runner-up	05.02.2007	Burnie Challenger	Hard	Nathan Healey	5-7, 4-6
Winner	05.05.2008	Orange Park USA	Clay	Clint Thomson	6–4, 6–2
Runner-up	14.07.2008	Great Britain F10, Great Britain	Clay	Michel Koning	4-6, 3-6
Runner-up	20.10.2008	Australia F10, Australia ;	Hard	Marinko Matosevic	1-6, 6-7 3-7
Runner-up	27.04.2009	Australia F3, Australia	Clay	Jose Statham	6-4, 4-6, 1-6
Winner	04.05.2009	Australia F4, Australia	Clay	Jose Statham	7–5, 7–6 (8–6)
Runner-up	01.02.2010	Burnie Challenger	Hard	Bernard Tomic	6–4, 6–2
Runner-up	22.02.2010	Australia F2, Australia	Grass	John Millman	6-1, 4-6, 4-6
Runner-up	16.05.2011	Fergana Challenger , Uzbekistan	Hard	Dudi Sela	2-6, 1-6
Runner-up	01.07.2013	Mantra Challenger , Ecuador	Hard	Michael Russell	6-4, 0-6, 5-7
Winner	07.10.2013	Australia F9, Australia	Hard	Jordan Thompson	3-6, 7-5, 6-1
