Year	Catcher	First Baseman	Second Baseman	Shortstop	Third Baseman	Rightfielder	Centerfielder	Leftfielder	Starting Pitcher
2013	A. J. Ellis	Adrian Gonzalez	Mark Ellis	Justin Sellers	Luis Cruz	Andre Ethier	Matt Kemp	Carl Crawford	Clayton Kershaw
2012	A. J. Ellis	James Loney	Mark Ellis	Dee Gordon	Juan Uribe	Andre Ethier	Matt Kemp	Juan Rivera	Clayton Kershaw
2011	Rod Barajas	James Loney	Jamey Carroll	Rafael Furcal	Juan Uribe	Andre Ethier	Matt Kemp	Tony Gwynn, Jr.	Clayton Kershaw
2010	Russell Martin	James Loney	Blake DeWitt	Rafael Furcal	Casey Blake	Andre Ethier	Matt Kemp	Manny Ramirez	Vicente Padilla
2009	Russell Martin	James Loney	Orlando Hudson	Rafael Furcal	Casey Blake	Andre Ethier	Matt Kemp	Manny Ramirez	Hiroki Kuroda
2008	Russell Martin	James Loney	Jeff Kent	Rafael Furcal	Blake DeWitt	Matt Kemp	Andruw Jones	Andre Ethier	Brad Penny
2007	Russell Martin	Nomar Garciaparra	Jeff Kent	Ramon Martinez	Wilson Betemit	Andre Ethier	Juan Pierre	Luis Gonzalez	Derek Lowe
2006	Sandy Alomar Jr.	Olmedo Saenz	Jeff Kent	Rafael Furcal	Bill Mueller	J.D. Drew	Jason Repko	Jose Cruz Jr.	Derek Lowe
2005	Jason Phillips	Hee Seop Choi	Jeff Kent	Cesar Izturis	Jose Valentin	J.D. Drew	Milton Bradley	Ricky Ledee	Derek Lowe
2004	Paul LoDuca	Shawn Green	Alex Cora	Cesar Izturis	Adrian Beltre	Juan Encarnacion	Milton Bradley	Dave Roberts	Hideo Nomo
2003	Paul LoDuca	Fred McGriff	Jolbert Cabrera	Cesar Izturis	Adrian Beltre	Shawn Green	Dave Roberts	Brian Jordan	Hideo Nomo
2002	Paul LoDuca	Eric Karros	Mark Grudzielanek	Cesar Izturis	Adrian Beltre	Shawn Green	Dave Roberts	Brian Jordan	Kevin Brown
2001	Chad Kreuter	Eric Karros	Mark Grudzielanek	Cesar Izturis	Chris Donnels	Shawn Green	Tom Goodwin	Gary Sheffield	Chan Ho Park
2000	Todd Hundley	Eric Karros	Mark Grudzielanek	Kevin Elster	Adrian Beltre	Shawn Green	Devon White	Gary Sheffield	Kevin Brown
1999	Todd Hundley	Eric Karros	Eric Young	Mark Grudzielanek	Adrian Beltre	Raul Mondesi	Devon White	Gary Sheffield	Kevin Brown
1998	Mike Piazza	Paul Konerko	Eric Young	Jose Vizcaino	Todd Zeile	Raul Mondesi	Trenidad Hubbard	Todd Hollandsworth	Ramon Martinez
1997	Mike Piazza	Eric Karros	Wilton Guerrero	Greg Gagne	Todd Zeile	Raul Mondesi	Brett Butler	Todd Hollandsworth	Ramon Martinez
1996	Mike Piazza	Eric Karros	Delino DeShields	Greg Gagne	Mike Blowers	Raul Mondesi	Brett Butler	Todd Hollandsworth	Ramon Martinez
1995	Mike Piazza	Eric Karros	Delino DeShields	Jose Offerman	Dave Hansen	Henry Rodriguez	Raul Mondesi	Billy Ashley	Ramon Martinez
1994	Mike Piazza	Eric Karros	Delino DeShields	Jose Offerman	Tim Wallach	Raul Mondesi	Brett Butler	Henry Rodriguez	Orel Hershiser
1993	Mike Piazza	Eric Karros	Jody Reed	Jose Offerman	Tim Wallach	Darryl Strawberry	Brett Butler	Eric Davis	Orel Hershiser
1992	Mike Scioscia	Kal Daniels	Juan Samuel	Jose Offerman	Lenny Harris	Darryl Strawberry	Brett Butler	Eric Davis	Ramon Martinez
1991	Mike Scioscia	Eddie Murray	Juan Samuel	Alfredo Griffin	Lenny Harris	Darryl Strawberry	Brett Butler	Kal Daniels	Tim Belcher
1990	Mike Scioscia	Eddie Murray	Willie Randolph	Alfredo Griffin	Jeff Hamilton	Hubie Brooks	Juan Samuel	Kal Daniels	Orel Hershiser
1989	Mike Scioscia	Eddie Murray	Willie Randolph	Alfredo Griffin	Jeff Hamilton	Mike Marshall	John Shelby	Kirk Gibson	Tim Belcher
1988	Mike Scioscia	Mike Marshall	Steve Sax	Alfredo Griffin	Pedro Guerrero	Mike Davis	John Shelby	Kirk Gibson	Fernando Valenzuela
1987	Mike Scioscia	Franklin Stubbs	Steve Sax	Mariano Duncan	Bill Madlock	Mike Marshall	Mike Ramsey	Ken Landreaux	Orel Hershiser
1986	Mike Scioscia	Greg Brock	Steve Sax	Mariano Duncan	Bill Madlock	Mike Marshall	Ken Landreaux	Franklin Stubbs	Fernando Valenzuela
1985	Mike Scioscia	Sid Bream	Mariano Duncan	Dave Anderson	Pedro Guerrero	Mike Marshall	Ken Landreaux	Al Oliver	Fernando Valenzuela
1984	Mike Scioscia	Pedro Guerrero	Steve Sax	Bill Russell	German Rivera	Candy Maldonado	Ken Landreaux	Mike Marshall	Fernando Valenzuela
1983	Steve Yeager	Greg Brock	Steve Sax	Bill Russell	Pedro Guerrero	Mike Marshall	Ken Landreaux	Dusty Baker	Fernando Valenzuela
1982	Steve Yeager	Steve Garvey	Steve Sax	Bill Russell	Ron Cey	Pedro Guerrero	Ken Landreaux	Dusty Baker	Jerry Reuss
1981	Mike Scioscia	Steve Garvey	Davey Lopes	Bill Russell	Ron Cey	Pedro Guerrero	Ken Landreaux	Dusty Baker	Fernando Valenzuela
1980	Steve Yeager	Steve Garvey	Davey Lopes	Derrel Thomas	Ron Cey	Reggie Smith	Rudy Law	Dusty Baker	Burt Hooton
1979	Steve Yeager	Steve Garvey	Davey Lopes	Bill Russell	Ron Cey	Reggie Smith	Rick Monday	Dusty Baker	Burt Hooton
1978	Steve Yeager	Steve Garvey	Davey Lopes	Bill Russell	Ron Cey	Reggie Smith	Rick Monday	Dusty Baker	Don Sutton
1977	Steve Yeager	Steve Garvey	Davey Lopes	Bill Russell	Ron Cey	Reggie Smith	Rick Monday	Dusty Baker	Don Sutton
1976	Steve Yeager	Steve Garvey	Ted Sizemore	Bill Russell	Ron Cey	Joe Ferguson	Dusty Baker	Bill Buckner	Don Sutton
1975	Steve Yeager	Steve Garvey	Davey Lopes	Bill Russell	Ron Cey	Joe Ferguson	Jimmy Wynn	Bill Buckner	Don Sutton
1974	Joe Ferguson	Bill Buckner	Davey Lopes	Bill Russell	Ron Cey	Willie Crawford	Jimmy Wynn	Von Joshua	Don Sutton
1973	Joe Ferguson	Bill Buckner	Lee Lacy	Bill Russell	Ken McMullen	Willie Crawford	Willie Davis	Manny Mota	Don Sutton
