Seed	Rank	Player	Points	Points defending	Points won	New points	Status
1	1	Caroline Wozniacki	9915	280	280	9915	Fourth round lost to Dominika Cibulková [24]
2	3	Vera Zvonareva	7935	1400	160	6695	Third round lost to Tsvetana Pironkova [32]
3	4	Li Na	6255	500	100	5855	Second round lost to Sabine Lisicki (WC)
4	5	Victoria Azarenka	5725	160	900	6465	Semifinals lost to Petra Kvitová [8]
5	6	Maria Sharapova	5021	280	1400	6141	Runner-up, lost to Petra Kvitová [8]
6	7	Francesca Schiavone	4705	5	160	4860	Third round lost to Tamira Paszek
7	25	Serena Williams	2060	2000	280	340	Fourth round lost to Marion Bartoli [9]
8	8	Petra Kvitová	4337	900	2000	5437	Champion, defeated Maria Sharapova [5]
9	9	Marion Bartoli	4010	280	500	4230	Quarterfinals lost to Sabine Lisicki (WC)
10	10	Samantha Stosur	3405	5	5	3405	First round lost to Melinda Czink (PR)
11	13	Andrea Petkovic	3150	5	160	3305	Third round lost to Ksenia Pervak
12	12	Svetlana Kuznetsova	3160	100	160	3220	Third round lost to Yanina Wickmayer [19]
13	11	Agnieszka Radwańska	3175	280	100	2995	Second round lost to Petra Cetkovská
14	14	Anastasia Pavlyuchenkova	3055	160	100	2995	Second round lost to Nadia Petrova
15	15	Jelena Janković	3050	280	5	2775	First round lost to María José Martínez Sánchez
16	16	Julia Görges	2560	5	160	2715	Third round lost to Dominika Cibulková [24]
17	17	Kaia Kanepi	2466	500	5	1971	First round lost to Sara Errani
18	18	Ana Ivanovic	2400	5	160	2555	Third round lost to Petra Cetkovská
19	19	Yanina Wickmayer	2350	160	280	2470	Fourth round lost to Petra Kvitová [8]
20	20	Peng Shuai	2300	0	280	2580	Fourth round lost to Maria Sharapova [5]
21	21	Flavia Pennetta	2220	160	160	2220	Third round lost to Marion Bartoli [9]
22	22	Shahar Pe'er	2170	100	5	2075	First round lost to Ksenia Pervak
23	30	Venus Williams	1680	500	280	1460	Fourth round lost to Tsvetana Pironkova [32]
24	24	Dominika Cibulková	2115	160	500	2455	Quarterfinals lost to Maria Sharapova [5]
25	23	Daniela Hantuchová	2135	100	160	2195	Third round lost to Victoria Azarenka [4]
26	27	Maria Kirilenko	1985	160	160	1985	Third round lost to Serena Williams [7]
27	28	Jarmila Gajdošová	1940	280	160	1820	Third round lost to Caroline Wozniacki [1]
28	38	Ekaterina Makarova	1381	100	5	1286	First round lost to Christina McHale
29	29	Roberta Vinci	1925	100	160	1985	Third round lost to Petra Kvitová [8]
30	31	Bethanie Mattek-Sands	1643	5	5	1643	First round lost to Misaki Doi (Q)
31	32	Lucie Šafářová	1585	5	100	1680	Second round lost to Klára Zakopalová
