Position	Team	Played	Won	Drawn	Lost	Goals For	Goals Against	Goal Average 1	Points 2
1	Runcorn	46	29	10	7	95	42	2.26	68
2	Stafford Rangers	46	26	15	5	81	41	1.98	67
3	Scarborough	46	26	10	10	84	43	1.95	62
4	Matlock Town	46	26	9	11	96	63	1.52	61
5	Boston United	46	27	6	13	95	58	1.64	60
6	Wigan Athletic	46	21	15	10	81	42	1.93	57
7	Altrincham	46	20	14	12	77	57	1.35	54
8	Bangor City	46	21	12	13	80	70	1.14	54
9	Mossley	46	21	11	14	70	58	1.21	53
10	Goole Town	46	20	13	13	58	49	1.18	53
11	Northwich Victoria	46	17	17	12	79	59	1.34	51
12	Lancaster City	46	18	9	19	61	70	0.87	45
13	Worksop Town	46	17	10	19	63	56	1.13	44
14	Gainsborough Trinity	46	13	17	16	58	69	0.84	43
15	Macclesfield Town	46	15	12	19	50	64	0.78	42
16	Gateshead United	46	17	7	22	64	63	1.02	41
17	Buxton	46	11	13	22	37	62	0.60	35
18	Skelmersdale United	46	12	10	24	45	74	0.61	34
19	Netherfield	46	11	11	24	55	76	0.72	33
20	Morecambe	46	11	11	24	47	67	0.70	33
21	Great Harwood	46	13	7	26	58	86	0.67	33
22	South Liverpool	46	12	9	25	45	78	0.58	33
23	Barrow	46	12	9	25	47	84	0.56	33
