Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Winner	30-Jun-2003	Waco, Georgia , United States	Hard	Alanna Broderick	Kim Niggemeyer Cintia Tortorella	7-6 (7) 6-2
Runner-up	18-May-2004	El Paso, Texas , United States	Hard	Tiya Rolle	Anne Mall Beau Jones	1-6, 5-7
Runner-up	25-May-2004	Houston , United States	Hard	Angela Haynes	Bruna Colosio Anne Mall	6-7,4-6
Runner-up	12-Apr-2005	Jackson, Mississippi , United States	Clay	Milagros Sequera	Anastasia Rodionova Kristen Schlukebir	1-6 6-3 2-6
Runner-up	19-Jul-2005	Hammond , United States	Clay	Christina Fusano	Mary Gambale Kelley Hyndman	6-2 3-6 5-7
Runner-up	27-Sep-2005	Ashland, Oregon , United States	Hard	Maria Fernanda Alves	Teryn Ashley Amy Frazier	1-6,4-6
Winner	21-Mar-2006	Redding, California , United States	Hard	Vasilisa Bardina	Elena Baltacha Yevgenia Savranska	5-7 7-5 6-4
Winner	31-Mar-2008	Pelham, Alabama , United States	Clay	Michaela Pastikova	Ye-Ra Lee Remi Tezuka	7-5 6-2
Runner-up	11-Aug-2008	Bronx , United States	Hard	Angela Haynes	Raquel Kops-Jones Abigail Spears	4-6,3-6
Runner-up	22 February 2009	Surprise, Arizona , United States	Hard	Yanina Wickmayer	Jorgelina Cravero Ekaterina Ivanova	1–6, 1–6
Winner	29-Jun-2009	Baston , United States	Hard	Maria Fernanda Alves	Mallory Cecil Megan Moulton-Levy	6-1 4-6 10-6
Winner	03-Aug-2009	Vancouver , Canada	Hard	Riza Zalameda	Madison Brengle Lilia Osterloh	6-4 6-3
Runner-up	26-Apr-2010	Charlottesville, Virginia , United States	Hard	Alexandra Mueller	Julie Ditty Carly Gullickson	4–6, 3–6
Runner-up	10-May-2010	Raleigh, North Carolina , United States	Clay	Alexandra Mueller	Kristie Ahn Nicole Gibbs	3–6, 2–6
Winner	07-Jun-2010	El Paso , United States	Hard	Angela Haynes	Lindsay Lee-Waters Ashley Weinhold	6-3 6-7 (5) 7-5
Winner	November 1, 2010	Grapevine , United States	Hard	Mashona Washington	Julie Ditty Chanelle Scheepers	5-7, 6-2, 6-2
Winner	January 10, 2011	Plantation , United States	Hard	Mashona Washington	Christina Fusano Yasmin Schnack	6-4, 6-2
Winner	January 17, 2011	Lutz , United States	Clay	Mashona Washington	Gabriela Dabrowski Sharon Fichman	6-4, 6-4
Winner	August 9, 2011	Bronx , United States	Hard	Megan Moulton-Levy	Han Xinyun Lu Jing-Jing	6–3, 7–6(5)
Runner-up	16-Jan-2012	Plantation Island, Florida , United States	Clay	Jessica Pegula	Catalina Castano Laura Thorpe	4–6, 2–6
