No	Player	Height	Position	Year born	Current Club
4	Bartłomiej Wołoszyn	1.97	Forward	1986	Anwil Wloclawek
5	Andrzej Pluta	1.81	Guard	1974	Anwil Wloclawek
6	Robert Skibniewski	1.82	Guard	1983	BOT Turów
7	Robert Witka	2.06	Forward	1981	BOT Turów
8	Filip Dylewicz	2.02	Forward	1980	Prokom Trefl Sopot
9	Radosław Hyży	2.00	Forward	1977	Śląsk Wrocław
10	Adam Wójcik	2.08	Forward	1970	UPEA Capo d'Orlando
11	Kamil Pietras	2.04	Forward	1988	Olimpija Ljubljana
12	Szymon Szewczyk	2.09	Center	1982	Lokomotiv Rostov
13	Iwo Kitzinger	1.88	Guard	1985	BOT Turów
14	Przemysław Frasunkiewicz	2.01	Forward	1979	Energa Czarni
