Tournament	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	1R	1R	1R	1R	3R
French Open	A	LQ	1R	2R	3R
Wimbledon	1R	Q1	1R	2R	1R
US Open	A	Q1	3R	3R	1R
Win–Loss	0–2	0–1	2–4	4–4	4–4
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells Masters	A	1R	2R	1R	3R
Miami Masters	3R	A	2R	QF	3R
Monte Carlo Masters	A	A	A	1R	1R
Rome Masters	A	A	A	1R	1R
Madrid Masters	A	A	1R	2R	2R
Canada Masters	A	A	3R	3R	1R
Cincinnati Masters	1R	A	A	2R	1R
Shanghai Masters	NMS	A	1R	1R	2R
Paris Masters	A	A	A	2R	3R
Win–Loss	2–2	0–1	4–5	9–9	5–9
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
Titles–Finals	0–1	0–0	0–0	1–1	1–1
Year-End Ranking	104	161	61	32	37
