Date	Visitor	Score	Home	Leading scorer	Attendance	Record
November 2, 2007	Kings	80–96	Spurs	Two-way tie (22)	17,072	3–0
November 6, 2007	Spurs	81–89	Rockets	Manu Ginóbili (23)	18,280	3–1
November 7, 2007	Heat	78–88	Spurs	Manu Ginóbili (25)	17,503	4–1
November 9, 2007	Spurs	97–85	Hornets	Tony Parker (27)	15,297	5–1
November 11, 2007	Bucks	88–113	Spurs	Manu Ginóbili (21)	17,670	6–1
November 13, 2007	Lakers	92–107	Spurs	Tony Parker (26)	18,797	7–1
November 15, 2007	Spurs	92–105	Mavericks	Manu Ginóbili (25)	20,468	7–2
November 16, 2007	Rockets	84–90	Spurs	Tim Duncan (25)	18,797	8–2
November 20, 2007	Spurs	95–83	Hawks	Tony Parker (31)	17,025	9–2
November 21, 2007	Magic	110–128	Spurs	Tony Parker (32)	18,797	10–2
November 23, 2007	Grizzlies	88–101	Spurs	Tim Duncan (28)	18,797	11–2
November 25, 2007	Spurs	116–101	SuperSonics	Tim Duncan (26)	14,186	12–2
November 26, 2007	Spurs	99–112	Kings	Tim Duncan (15)	12,587	12–3
November 28, 2007	Wizards	94–109	Spurs	Tony Parker (29)	18,386	13–3
November 30, 2007	Spurs	106–91	Timberwolves	Manu Ginóbili (31)	16,297	14–3
