Place	Player	Country	Score	To par	Money ( $ )
1	Hal Sutton	United States	65-66-72-71=274	–10	100,000
2	Jack Nicklaus	United States	73-65-71-66=275	–9	60,000
3	Peter Jacobsen	United States	73-70-68-65=276	–8	40,000
4	Pat McGowan	United States	68-67-73-69=277	–7	30,000
5	John Fought	United States	67-69-71-71=278	–6	25,000
T6	Bruce Lietzke	United States	67-71-70-71=279	–5	19,000
T6	Fuzzy Zoeller	United States	72-71-67-69=279	–5	19,000
8	Dan Pohl	United States	72-70-69-69=280	–4	16,000
T9	Ben Crenshaw	United States	68-66-71-77=282	–2	10,880
T9	Jay Haas	United States	68-72-69-73=282	–2	10,880
T9	Mike Reid	United States	69-71-72-70=282	–2	10,880
T9	Scott Simpson	United States	66-73-70-73=282	–2	10,880
T9	Doug Tewell	United States	74-72-69-67=282	–2	10,880
