Week	Date	Opponent	Result	Attendance
1	September 30, 1956	at San Francisco 49ers	W 38–21	41,751
2	October 7, 1956	at Chicago Cardinals	L 35–27	21,799
3	October 14, 1956	at Cleveland Browns	W 21–9	60,042
4	October 21, 1956	Pittsburgh Steelers	W 38–10	48,108
5	October 28, 1956	Philadelphia Eagles	W 20–3	40,960
6	November 4, 1956	at Pittsburgh Steelers	W 17–14	31,240
7	November 11, 1956	Chicago Cardinals	W 23–10	62,410
8	November 18, 1956	at Washington Redskins	L 33–7	26,261
9	November 25, 1956	Chicago Bears	T 17–17	55,191
10	December 2, 1956	Washington Redskins	W 28–14	26,261
11	December 9, 1956	Cleveland Browns	L 24–7	27,707
12	December 15, 1956	at Philadelphia Eagles	W 21–7	16,562
