Municipalities	Extension km²	Population (hab)	Density (hab/ km² )	Altitude m	Distance Medellín Downtown ( km )
Medellín	380,64	2 368 282*	6 221,8	1538	0
Bello	142,36	421 522*	2 960,9	1450	10
Envigado	78,80	202 310*	3504	1575	10
Itagüí	17,00	255 369*	15 021,7	1550	11
Sabaneta	15,00	48 997*	3 266,4	1550	14
Barbosa	206,00	46 951*	227,9	1300	42
Caldas	133,40	74 072*	555,2	1750	22
La Estrella	35,00	58 414*	1 668,9	1775	16
Girardota	78,00	49 381*	663,0	1425	26
Copacabana	70,00	66 665*	952,3	1454	18
Total	1 157,39	3 591 963*	3 104	—	—
* DANE	* DANE	* DANE	* DANE	* DANE	* DANE
