Ep.	Season	Title	Directed by	Written by	Original air date	Prod. Code
8	1	"The Lion Sleeps Tonight"	Noam Pitlik	Jack Carrerow & Lisa A. Bannick	September 27, 1985	4G01
9	2	"Tornado"	Noam Pitlik	Frank Dungan & Jeff Stein & Tony Sheehan	October 04, 1985	4G02
10	3	"The Cheerleader"	Noam Pitlik	Lissa Levin	October 11, 1985	4G03
11	4	"Requiem"	Noam Pitlik	Jeffrey Ferro & Fredric Weiss	October 18, 1985	4G04
12	5	"Delivery"	Noam Pitlik	Fredric Weiss & Jeffrey Ferro	October 25, 1985	4G05
13	6	"The Contract"	Noam Pitlik	Frank Dungan & Jeff Stein & Tony Sheehan	November 01, 1985	4G07
14	7	"Vows"	Noam Pitlik	Lissa Levin	November 08, 1985	4G06
15	8	"Strike"	Noam Pitlik	Jeffrey Ferro & Fredric Weiss	November 15, 1985	4G08
16	9	"The Letter"	Noam Pitlik	Karen Wengrod & Ken Cinnamon	November 22, 1985	4G10
17	10	"Pinball"	Noam Pitlik	Frank Dungan & Jeff Stein	November 29, 1985	4G09
19	12	"Speechless"	Noam Pitlik	Frank Dungan & Jeff Stein	January 03, 1986	4G13
20	13	"The Teacher"	Noam Pitlik	Lissa Levin	January 10, 1986	4G14
21	14	"The Dropout"	Noam Pitlik	Jack Carrerow & Lisa A. Bannick	January 17, 1986	4G12
22	15	"Rivals"	Noam Pitlik	Fredric Weiss & Jeffrey Ferro	January 24, 1986	4G15
23	16	"Wesley's Friend"	Noam Pitlik	Frank Dungan & Jeff Stein & Tony Sheehan	January 31, 1986	4G16
24	17	"The Will"	Noam Pitlik	Lissa Levin	February 07, 1986	4G17
26	19	"Heather's Tutor"	Noam Pitlik	Lissa Levin	February 21, 1986	4G19
27	20	"Amish"	Noam Pitlik	Tony Sheehan	March 07, 1986	4G20
28	21	"Dinner for Two"	Noam Pitlik	Fredric Weiss & Jeffery Ferro	March 21, 1986	4G21
