Place	Player	Country	Score	To par
1	Curtis Strange	United States	71-64=135	–5
2	Tom Kite	United States	67-69=136	–4
T3	Jay Don Blake	United States	66-71=137	–3
T3	Scott Simpson	United States	67-70=137	–3
T5	Mark McCumber	United States	70-68=138	–2
T5	Ian Woosnam	Wales	70-68=138	–2
T7	Isao Aoki	Japan	70-70=140	E
T7	Chip Beck	United States	71-69=140	E
T7	Steve Elkington	Australia	70-70=140	E
T7	Nick Faldo	England	68-72=140	E
T7	Dan Forsman	United States	70-70=140	E
T7	Eddie Kirby	United States	70-70=140	E
T7	Mark Lye	United States	71-69=140	E
T7	Greg Norman	Australia	72-68=140	E
T7	Scott Taylor	United States	69-71=140	E
T7	Mark Wiebe	United States	69-71=140	E
T7	Richard Zokol	Canada	71-69=140	E
