Game	Date	Opponent	Result	Eagles points	Opponents	Record	Attendance
1	Sept. 4	at Tampa Bay Buccaneers	Win	41	14	1–0	43502
2	Sept. 11	Cincinnati Bengals	Loss	24	28	1–1	66459
3	Sept. 18	at Washington Redskins	Loss	10	17	1–2	53920
4	Sept. 25	at Minnesota Vikings	Loss	21	23	1–3	56012
5	Oct. 2	Houston Oilers	Win	32	23	2–3	64692
6	Oct. 10	New York Giants	Win	24	13	3–3	63736
7	Oct. 16	at Cleveland Browns	Loss	3	19	3–4	78787
8	Oct. 23	Dallas Cowboys	Win	24	23	4–4	66309
9	Oct. 30	Atlanta Falcons	Loss	24	27	4–5	60091
10	Nov. 6	Los Angeles Rams	Win	30	24	5–5	65624
11	Nov. 13	at Pittsburgh Steelers	Win	27	26	6–5	46026
12	Nov. 20	at New York Giants	Win (OT)	23	17	7–5	43621
13	Nov. 27	Phoenix Cardinals	Win	31	21	8–5	57918
14	Dec. 4	Washington Redskins	Loss	19	20	8–6	65947
15	Dec. 10	at Phoenix Cardinals	Win	23	17	9–6	54832
