Date	Opponent	Score	Loss	Attendance	Record
August 1	Athletics	4-1	Regilio (0-2)	32,646	57-46
August 3	@ Tigers	5-4	Robertson (9-6)	19,894	58-46
August 4	@ Tigers	8-0	Johnson (8-9)	18,857	59-46
August 5	@ Tigers	2-1	Yan (1-3)	25,710	60-46
August 6	@ Orioles	9-1	Regilio (0-3)	29,276	60-47
August 7	@ Orioles	3-1	Erickson (0-1)	44,961	60-48
August 8	@ Orioles	11-5	Rogers (13-5)	32,842	60-49
August 9	@ Orioles	7-3	Bacsik (1-1)	39,850	60-50
August 10	Yankees	7-1	Brown (9-2)	43,633	61-50
August 11	Yankees	4-2	Regilio (0-4)	43,729	61-51
August 12	Yankees	5-1	Erickson (0-2)	48,925	61-52
August 13	Devil Rays	5-3	Bell (5-6)	30,266	62-52
August 14	Devil Rays	6-5	Núñez (0-1)	38,620	63-52
August 15	Devil Rays	6-2	Sosa (3-2)	23,051	64-52
August 16	Indians	5-2	Sabathia (9-7)	23,551	65-52
August 17	Indians	16-4	Lee (10-5)	24,864	66-52
August 18	Indians	5-2	Elarton (2-3)	31,572	67-52
August 20	@ Royals	5-3	Wood (2-5)	17,385	68-52
August 21	@ Royals	5-3	Anderson (2-11)	25,035	69-52
August 22	@ Royals	10-2	Erickson (1-3)	22,286	69-53
August 23	Twins	7-4	Rogers (15-6)	23,369	69-54
August 24	Twins	5-4	Nathan (1-2)	24,496	70-54
August 25	Twins	8-5	Drese (11-7)	25,332	70-55
August 26	Twins	8-3	Mulholland (4-7)	26,083	71-55
August 27	Orioles	6-4	Bédard (5-9)	29,409	72-55
August 28	Orioles	4-3	Ryan (3-5)	41,676	73-55
August 29	Orioles	7-6	Young (0-1)	30,577	73-56
August 31	@ Twins	8-5	Almanzar (7-3)	20,510	73-57
