Rd #	Pick #	Player	Team (League)	Reg GP	Pl GP
1	23	Ryan Kesler	Ohio State University ( NCAA )	578	57
2	60	Marc-Andre Bernier	Halifax Mooseheads ( QMJHL )	0	0
4	111	Brandon Nolan	Oshawa Generals ( OHL )	0	0
4	128	Ty Morris	St. Albert Saints ( AJHL )	0	0
5	160	Nicklas Danielsson	Brynäs IF ( Swe )	0	0
6	190	Chad Brownlee	Vernon Vipers ( BCHL )	0	0
7	222	François-Pierre Guenette	Halifax Mooseheads ( QMJHL )	0	0
8	252	Sergei Topol	Avangard Omsk ( Rus )	0	0
8	254	Nathan McIver	Toronto St. Michael's Majors ( OHL )	18	0
9	285	Matthew Hansen	Seattle Thunderbirds ( WHL )	0	0
