Tournament	Also currently known as	City	Country	Court surface	Defending champion
Auckland	ASB Classic	Auckland	New Zealand	Outdoors hard	Agnieszka Radwańska
Shenzhen	Shenzhen Gemdale Open	Shenzhen	China	Outdoors hard	Na Li
Hobart	Moorilla Hobart International	Hobart	Australia	Outdoors hard	Elena Vesnina
Pattaya	PTT Pattaya Women's Open	Pattaya	Thailand	Outdoors hard	Maria Kirilenko
Rio de Janeiro	Rio de Janeiro Open	Rio de Janeiro	Brazil	Red clay	New event for 2014
Acapulco	Abierto Mexicano TELCEL presentado por HSBC	Acapulco	Mexico	Outdoors red clay	Sara Errani
Florianópolis	WTA Brasil Tennis Cup	Florianópolis	Brazil	Outdoors hard	Monica Niculescu
Monterrey	Monterrey Open	Monterrey	Mexico	Outdoors hard	Anastasia Pavlyuchenkova
Katowice	BNP Paribas Katowice Open	Katowice	Poland	Indoors hard	Roberta Vinci
Bogotá	Copa Sony Ericsson Colsanitas	Bogotá	Colombia	Outdoors red clay	Jelena Janković
Kuala Lumpur	BMW Malaysian Open	Kuala Lumpur	Malaysia	Outdoors hard	Karolína Plíšková
Marrakesh	Grand Prix SAR La Princesse Lalla Meryem	Marrakesh	Morocco	Outdoors red clay	Francesca Schiavone
Oeiras	Portugal Open	Oeiras	Portugal	Outdoors red clay	Anastasia Pavlyuchenkova
Brussels	Brussels Open	Brussels	Belgium	Outdoors red clay	Kaia Kanepi
Strasbourg	Internationaux de Strasbourg	Strasbourg	France	Outdoors red clay	Alizé Cornet
Nuremberg	Nürnberger Versicherungscup	Nuremberg	Germany	Outdoors Red clay	Simona Halep
's-Hertogenbosch	UNICEF Open	's-Hertogenbosch	Netherlands	Outdoors grass	Simona Halep
Budapest	Budapest Grand Prix	Budapest	Hungary	Outdoors red clay	Simona Halep
Bad Gastein	Gastein Ladies	Bad Gastein	Austria	Outdoors red clay	Yvonne Meusburger
Båstad	Swedish Open Women	Båstad	Sweden	Outdoors red clay	Serena Williams
Istanbul	Istanbul Cup	Istanbul	Turkey	Outdoors hard	Anastasia Pavlyuchenkova (2010)
Baku	Baku Cup	Baku	Azerbaijan	Outdoors hard	Elina Svitolina
Washington, D.C.	Citi Open	Washington, D.C.	United States	Outdoors hard	Magdaléna Rybáriková
New Haven	New Haven Open at Yale	New Haven	United States	Outdoors hard	Simona Halep
Quebec City	Challenge Bell	Quebec City	Canada	Indoors hard	Lucie Safarova
Hong Kong	Hong Kong Open	Hong Kong	Hong Kong	Outdoors hard	New event for 2014
Tashkent	Tashkent Open	Tashkent	Uzbekistan	Outdoors hard	Bojana Jovanovski
Seoul	KDB Korea Open	Seoul	South Korea	Outdoors hard	Agnieszka Radwanska
Guangzhou	GRC Bank Guangzhou International Women's Open	Guangzhou	China	Outdoors Hard	Shuai Zhang
Linz	Generali Ladies Linz	Linz	Austria	Indoors hard	Angelique Kerber
Osaka	HP Open	Osaka	Japan	Outdoors hard	Samantha Stosur
Luxembourg	BGL Luxembourg Open	Luxembourg City	Luxembourg	Indoors hard	Caroline Wozniacki
