Name	Nation	Points	Games	Pts/game
Karen Andrew	England	44	5	8.8
Daniella Waterman	England	40	5	8
Christelle Le Duff	France	33	5	6.6
Charlotte Barras	England	30	5	6
Naomi Thomas	Wales	25	5	5
Susan Day	England	20	5	4
Lucy Millard	Scotland	20	5	4
Veronica Schiavon	Italy	19	4	4.75
Estelle Sartini	France	17	5	3.4
Margaret Alphonsie	England	15	5	3
Fanny Horta	France	15	5	3
Jeannette Feighery	Ireland	15	5	3
Non Evans	Wales	14	3	4.67
Lynsey Harley	Scotland	12	2	6
Delphine Plantet	France	10	5	2
Joanne O'Sullivan	Ireland	10	5	2
Katy McLean	England	9	3	3
Michela Tondinelli	Italy	6	5	1.2
Georgia Stevens	England	5	5	1
Mel Berry	Wales	5	5	1
