Year	Men's singles	Women's singles	Men's doubles	Women's doubles
1973	Wolfgang Bochow	Lene Køppen	Thomas Kihlström Bengt Fröman	Lene Køppen Karin Lindquist
1974	No competition	No competition	No competition	No competition
1975	Anatoliy Skripko	Alena Poboráková	Anatoliy Skripko Viktor Schwatschko	Alena Poboráková Éva Cserni
1976	Nikolaj Nikitin	Alla Zvonareva	Anatoliy Skripko Vitaliy Shmakov	Alla Zvonareva Ljudmila Markova
1977	Morten Frost	Lonny Bostofte	Morten Frost Steen Skovgaard	Eva-Maria Kranz Vera Martini
1978	Anatoliy Skripko	Monika Cassens	Konstantin Wawilow Nikolay Peshekhonov	Monika Cassens Angela Michalowski
1979	Anatoliy Skripko	Svetlana Belyasova	Bandid Jaiyen Preecha Sopajaree	Monika Cassens Angela Michalowski
1980	No competition	No competition	No competition	No competition
1981	Anatoliy Skripko	Christine Magnusson	Bengt Svenningsen Henrik Svarrer	Christine Magnusson Maria Bengtsson
1982	Anatoliy Skripko	Svetlana Belyasova	Vitaly Shmakov Anatoliy Skripko	Wendy Massam Gillian Gowers
1983	Harald Klauer	Svetlana Belyasova	Thomas Künstler Harald Klauer	Svetlana Belyasova Ljudmila Okuneva
1984	Poul Larsen	Tatyana Litvinenko	Par-Gunnar Jonsson Jan-Eric Antonsson	Tatyana Litvinenko Viktoria Pron
1985	Syed Modi	Tatyana Litvinenko	Thomas Künstler Stefan Frey	Svetlana Belyasova Elena Rybkina
1986	Claus Thomsen	Svetlana Belyasova	Peter Axelsson Jens Olsson	Tatyana Litvinenko Viktoria Pron
1987	Jens Olsson	Vlada Belyutina	Andrey Antropov Sergey Sevryukov	Svetlana Belyasova Elena Rybkina
1988	Andrey Antropov	Catrine Bengtsson	Andrey Antropov Sergey Sevryukov	Elena Rybkina Irina Serova
1989	Andrey Antropov	Elena Rybkina	Andrey Antropov Sergey Sevryukov	Svetlana Belyasova Irina Serova
1990	Andrey Antropov	Elena Rybkina	Andrey Antropov Sergey Sevryukov	Elena Rybkina Vlada Cherniavskaya
1991	Park Sung-woo	Elena Rybkina	Park Joo-bong Kim Moon-soo	Natalia Ivanova Julia Martinenko
1992	Andrey Antropov	Marina Yakusheva	Andrey Antropov Nikolay Zuev	Marina Andrievskaia Marina Yakusheva
