District	Incumbent	Party	First elected	Results	Candidates
New York 1	Michael Forbes	Republican	1994	Re-elected	Michael Forbes (R) 64% William Holst (D) 36%
New York 2	Rick Lazio	Republican	1992	Re-elected	Rick Lazio (R) 67% John Bace (D) 30%
New York 3	Peter King	Republican	1992	Re-elected	Peter King (R) 65% Kevin Langberg (D) 35%
New York 4	Carolyn McCarthy	Democratic	1996	Re-elected	Carolyn McCarthy (D) 53% Gregory Becker (R) 47%
New York 5	Gary Ackerman	Democratic	1983	Re-elected	Gary Ackerman (D) 65% David Pinzon (R) 34%
New York 6	Gregory W. Meeks	Democratic	February 3, 1998 (Special)	Re-elected	Gregory W. Meeks (D) unopposed
New York 7	Thomas Manton	Democratic	1984	Retired Democratic hold	Joseph Crowley (D) 68% James Dillon (R) 28%
New York 8	Jerrold Nadler	Democratic	1992	Re-elected	Jerrold Nadler (D) 86% Ted Howard (R) 14%
New York 9	Charles Schumer	Democratic	1980	Retired to run for U.S. Senate Democratic hold	Anthony Weiner (D) 66% Leslie Telano (R) 24%
New York 10	Ed Towns	Democratic	1982	Re-elected	Ed Towns (D) 92% Ernestine Brown (R) 7%
New York 11	Major Owens	Democratic	1982	Re-elected	Major Owens (D) 89% David Greene (R) 10%
New York 12	Nydia Velazquez	Democratic	1992	Re-elected	Nydia Velazquez (D) 83% Rosemarie Markgraf (R) 13%
New York 13	Vito Fossella	Republican	1997	Re-elected	Vito Fossella (R) 66% Eugene Prisco (D) 34%
New York 15	Charles B. Rangel	Democratic	1970	Re-elected	Charles B. Rangel (D) 94% David Cunningham (R) 6%
New York 16	Jose Serrano	Democratic	1990	Re-elected	Jose Serrano (D) 96% Thomas Bayley (R) 4%
New York 17	Eliot Engel	Democratic	1988	Re-elected	Eliot Engel (D) 88% Peter Fiumefreddo (R) 12%
New York 18	Nita Lowey	Democratic	1988	Re-elected	Nita Lowey (D) unopposed
New York 19	Sue Kelly	Republican	1994	Re-elected	Sue Kelly (R) 63% Dick Collins (D) 34%
New York 20	Benjamin Gilman	Republican	1972	Re-elected	Benjamin Gilman (R) 58% Paul Feiner (D) 40%
New York 21	Mike McNulty	Democratic	1988	Re-elected	Mike McNulty (D) 74% Lauren Ayers (R) 26%
New York 22	Gerald Solomon	Republican	1978	Retired Republican hold	John Sweeney (R) 56% Jean Bordewich (D) 43%
New York 23	Sherwood Boehlert	Republican	1982	Re-elected	Sherwood Boehlert (R) unopposed
New York 24	John McHugh	Republican	1992	Re-elected	John McHugh (R) 79% Neil Tallon (D) 21%
New York 25	Jim Walsh	Republican	1988	Re-elected	Jim Walsh (R) 69% Yvonne Rothenberg (D) 31%
New York 27	Bill Paxon	Republican	1988	Retired Republican hold	Tom Reynolds (R) 58% Bill Cook (D) 42%
New York 28	Louise Slaughter	Democratic	1986	Re-elected	Louise Slaughter (D) 65% Richard Kaplan (R) 31%
New York 29	John LaFalce	Democratic	1974	Re-elected	John LaFalce (D) 58% Chris Collins (R) 41%
New York 30	Jack Quinn	Republican	1992	Re-elected	Jack Quinn (R) 68% Crystal Peoples (D) 32%
