Team	Location	Venue	Capacity	Position in 2005
Shakhtyor	Soligorsk	Stroitel	5,000	1
Dinamo Minsk	Minsk	Dinamo, Minsk	41,040	2
MTZ-RIPO	Minsk	Traktor	17,600	3
Torpedo	Zhodino	Torpedo	3,020	4
BATE	Borisov	City Stadium	5,500	5
Dnepr	Mogilev	Spartak, Mogilev	11,200	6
Gomel	Gomel	Central, Gomel	11,800	7
Dinamo Brest	Brest	OSK Brestskiy	10,080	8
Naftan	Novopolotsk	Atlant	6,500	9
Darida	Minsk Raion	Darida	6,000	10
Lokomotiv Minsk	Minsk	Lokomotiv	800	11
Neman	Grodno	Neman	6,300	12
Belshina	Bobruisk	Spartak, Bobruisk	3,550	First league , 1
Lokomotiv Vitebsk	Vitebsk	Central, Vitebsk	8,300	First league , 2
