Institution	Nickname	Location	Founded	Type	Enrollment	Joined
Bard College	Raptors	Annandale-on-Hudson, New York	1860	Private	1958	2011
Clarkson University	Golden Knights	Potsdam, New York	1896	Private	2848	1995
Hobart College	Statesmen	Geneva, New York	1822	Private	905	1995
Rensselaer Polytechnic Institute	Engineers	Troy, New York	1824	Private	5431	1995
Rochester Institute of Technology	Tigers	Henrietta, New York	1829	Private	14224	2011
University of Rochester	Yellowjackets	Rochester, New York	1850	Private	5601	1995
St. Lawrence University	Saints	Canton, New York	1856	Private	2327	1995
Skidmore College	Thoroughbreds	Saratoga Springs, New York	1903	Private	2734	1995
Union College	Dutchmen	Schenectady, New York	1795	Private	2197	1995
Vassar College	Brewers	Poughkeepsie, New York	1861	Private	2446	2001
