Driver	Constructor	Laps	Time/Retired	Grid
Jacques Villeneuve	Williams - Renault	77	1:46:21.134	3
Damon Hill	Williams - Renault	77	+ 0.771	2
Jean Alesi	Benetton - Renault	77	+ 1:24.212	5
Mika Häkkinen	McLaren - Mercedes	76	+ 1 Lap	7
Olivier Panis	Ligier - Mugen-Honda	76	+ 1 Lap	11
Rubens Barrichello	Jordan - Peugeot	75	+ 2 Laps	13
Ukyo Katayama	Tyrrell - Yamaha	74	+ 3 Laps	14
Ricardo Rosset	Footwork - Hart	74	+ 3 Laps	18
Michael Schumacher	Ferrari	70	Throttle	1
Giovanni Lavaggi	Minardi - Ford	69	Spun off	20
Gerhard Berger	Benetton - Renault	64	Engine	6
Heinz-Harald Frentzen	Sauber - Ford	50	Electrical	10
Johnny Herbert	Sauber - Ford	35	Engine	8
Eddie Irvine	Ferrari	31	Gearbox	4
Pedro Lamy	Minardi - Ford	24	Suspension	19
David Coulthard	McLaren - Mercedes	23	Engine	9
Jos Verstappen	Footwork - Hart	10	Spun off	17
Martin Brundle	Jordan - Peugeot	5	Spun off	12
Pedro Diniz	Ligier - Mugen-Honda	1	Collision	15
Mika Salo	Tyrrell - Yamaha	0	Collision	16
