Club	Played	Drawn	Lost	Points for	Points against	Points difference	Tries For	Tries Against	Try Bonus	Losing Bonus	Points
Club	Played	Drawn	Lost	Points for	Points against	Points difference	Tries For	Tries Against	Try Bonus	Losing Bonus	Points
Wattstown RFC	16	0	0	361	117	+244	39	14	5	0	69
Bryncethin RFC	16	0	4	306	184	+122	41	26	6	2	56
CRC Caerdydd RFC	16	0	5	280	197	+83	39	23	4	1	49
Cambrian Welfare RFC	16	1	8	336	209	+127	49	20	5	6	41
Glyncoch RFC	16	0	10	206	248	-42	25	31	1	6	31
Llanrumney RFC	16	1	10	277	304	-27	36	38	3	3	28
Ynysowen RFC	16	0	11	240	339	-99	28	49	0	3	23
Caerau Ely RFC	16	0	12	163	273	-110	21	33	2	4	22
Llandrindod Wells RFC	16	0	11	155	453	-298	18	62	0	1	21
Correct as of 2009-04-05	Correct as of 2009-04-05	Correct as of 2009-04-05	Correct as of 2009-04-05	Correct as of 2009-04-05	Correct as of 2009-04-05	Correct as of 2009-04-05	Correct as of 2009-04-05	Correct as of 2009-04-05	Correct as of 2009-04-05	Correct as of 2009-04-05	Correct as of 2009-04-05
