District	Incumbent	Party	First elected	Result	Candidates
California 2	Clair Engle	Democratic	1943	Re-elected	Clair Engle (D) Unopposed
California 5	John Shelley	Democratic	1949	Re-elected	John Shelley (D) Unopposed
California 8	George Paul Miller Redistricted from 6th	Democratic	1944	Re-elected	George Paul Miller (D) Unopposed
California 12	Allan O. Hunter Redistricted from 9th	Republican	1950	Re-elected	Allan O. Hunter (R) Unopposed
California 13	Ernest K. Bramblett Redistricted from 11th	Republican	1946	Re-elected	Ernest K. Bramblett (R) 51.0% Will Hays (D) 49.0%
California 14	Thomas H. Werdel Redistricted from 10th	Republican	1948	Lost re-election Democratic gain	Harlan Hagen (D) 51.0% Thomas H. Werdel (R) 49.0%
California 15	Gordon L. McDonough	Republican	1944	Re-elected	Gordon L. McDonough (R) Unopposed
California 18	None (District created)	None (District created)	None (District created)	New seat Republican gain	Craig Hosmer (R) 55.5% Joseph M. Kennick (D) 44.5%
California 20	John Carl Hinshaw	Republican	1938	Re-elected	John Carl Hinshaw (R) Unopposed
California 22	None (District created)	None (District created)	None (District created)	New seat Republican gain	Joseph F. Holt (R) 60.5% Dean E. McHenry (D) 39.5%
California 29	John J. Phillips Redistricted from 22nd	Republican	1942	Re-elected	John J. Phillips (R) Unopposed
