Rank	Nation	Gold	Silver	Bronze	Total
1	France	33	21	12	66
2	Morocco	12	12	14	38
3	Egypt	6	1	7	14
4	Romania	4	8	6	18
5	Canada	4	6	9	19
6	Tunisia	3	6	10	19
7	Ivory Coast	3	5	3	11
8	Burkina Faso	2	3	7	12
9	Lebanon	2	1	1	4
10	Benin	2	0	0	2
10	Chad	2	0	0	2
12	Senegal	1	4	6	11
13	Niger	1	2	2	5
14	Seychelles	1	1	0	2
15	Rwanda	1	0	2	3
16	Madagascar	1	0	1	2
17	Lithuania	1	0	0	1
18	Mauritius	0	2	2	4
19	Quebec	0	2	1	3
20	Cameroon	0	1	4	5
21	Republic of the Congo	0	1	2	3
21	Gabon	0	1	2	3
21	Luxembourg	0	1	2	3
24	Cape Verde	0	1	1	2
24	Mali	0	1	1	2
26	New Brunswick	0	1	0	1
27	French Community of Belgium	0	0	5	1
28	Macedonia	0	0	1	1
28	Saint Lucia	0	0	1	1
28	Switzerland	0	0	1	1
