No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
14a	1a	"Spontaneously Combustible"	Igor Kovalyov	Mark Steen & Mark Palmer	September9,1995	201a
14b	1b	"Curse of Katana"	Jim Duffy	Mark Palmer	September9,1995	201b
15a	2a	"Monsters Are Real"	Igor Kovalyov	David Adam Silverman	September16,1995	202a
15b	2b	"This is Your Brain on Ickis"	Jim Duffy	Spencer Green & Mary Elizabeth Williams	September16,1995	202b
16b	3b	"Krumm Gets the Dreaded Nolox"	Igor Kovalvov	Mary Elizabeth Williams & Spencer Green	September23,1995	203b
17a	4a	"Mayberry UFO"	Jim Duffy	Mary Elizabeth Williams & Spencer Green	September30,1995	204a
17b	4b	"I Dream of Snorch with the Long Golden Hair"	Igor Kovalyov	Spencer Green & Mary Elizabeth Williams	September30,1995	204b
18a	5a	"Garbage Ahoy"	Jim Duffy	Steve Skrovan & David Adam Silverman	October7,1995	205a
18b	5b	"Goin' (Way) South"	Igor Kovalyov	Mark Steen	October7,1995	205b
19b	6b	"Puppy Ciao"	Jim Duffy	Steve Skrovan	October14,1995	206b
20a	7a	"The Rival"	Igor Kovalyov	Roger Eschbacher	October21,1995	207a
20b	7b	"Hats Off"	Jim Duffy	Mark Palmer	October21,1995	207b
21a	8a	"Eau de Krumm"	Jim Duffy	Spencer Green & Mary Elizabeth Williams	October28,1995	208a
21b	8b	"O'Lucky Monster"	Igor Kovalyov	Mark Palmer & Marcy Gray Rubin	October28,1995	208b
22a	9a	"Rosh-O-Monster"	Jim Duffy	Michael Palmer	November4,1995	209a
22b	9b	"The Tree of Ickis"	Igor Kovalyov	Steve Skrovan	November4,1995	209b
23a	10a	"History of the Monster World"	Igor Kovalyov	Spencer Green & Mary Elizabeth Williams	November11,1995	210a
23b	10b	"Fear Thy Name is Ickis"	Igor Kovalyov	Steve Skrovan	November11,1995	210b
24a	11a	"Quest for the Holy Pail"	Jim Duffy	Mark Palmer	November18,1995	211a
24b	11b	"Garbage In, Garbage Out"	Jim Duffy	Roger Eschbacher	November18,1995	211b
25a	12a	"A Room with No Viewfinder"	Andrei Svislotski	Spencer Green & Mary Elizabeth Williams	November25,1995	212a
25b	12b	"Krumm Rises to the Top"	Igor Kovalyov	Steve Skrovan, Lance Khazei & Michael Karnow	November25,1995	212b
26a	13a	"The Five Faces of Ickis"	Jim Duffy	Michael Karnow, Lance Khazei & Steve Skrovan	December2,1995	213a
