Date	Opponent	Score	Loss	Record
August 1	Athletics	4–3	Morehead (0–1)	56–45
August 1	Athletics	8–3	Sanford (4–4)	57–45
August 2	Athletics	8–6	Wyatt (5–5)	57–46
August 3	Athletics	5–3	Hunter (9–11)	58–46
August 4	@ Twins	3–0	Brandon (4–9)	58–47
August 5	@ Twins	2–1	Stange (7–7)	58–48
August 6	@ Twins	2 – 0 (5)	Lonborg (15–5)	58–49
August 7	@ Athletics	5–3	Morehead (1–2)	58–50
August 8	@ Athletics	7–5	Stafford (0–1)	59–50
August 9	@ Athletics	5–1	Nash (10–11)	60–50
August 11	@ Angels	1–0	Stange (7–8)	60–51
August 12	@ Angels	2–1	Bell (7–10)	60–52
August 13	@ Angels	3–2	Lonborg (16–6)	60–53
August 15	Tigers	4–0	Sparma (12–5)	61–53
August 16	Tigers	8–3	McLain (15–13)	62–53
August 17	Tigers	7 – 4 (10)	Lyle (1–1)	62–54
August 18	Angels	3–2	Hamilton (6–3)	63–54
August 19	Angels	12–11	Coates (0–2)	64–54
August 20	Angels	12–2	Brunet (11–15)	65–54
August 20	Angels	9–8	Rojas (9–8)	66–54
August 21	Senators	6–5	Knowles (5–7)	67–54
August 22	Senators	2–1	Ortega (9–6)	68–54
August 22	Senators	5–3	Cox (6–2)	69–54
August 23	Senators	3–2	Lyle (1–2)	69–55
August 24	Senators	7–5	Nold (0–2)	70–55
August 25	@ White Sox	7–1	Peters (14–7)	71–55
August 25	@ White Sox	2–1	Wyatt (7–6)	71–56
August 26	@ White Sox	6–2	Horlen (14–5)	72–56
August 27	@ White Sox	4–3	Klages (2–3)	73–56
August 27	@ White Sox	1 – 0 (11)	Brandon (5–10)	73–57
August 28	@ Yankees	3–0	Talbot (5–7)	74–57
August 29	@ Yankees	2–1	Stottlemyre (13–11)	75–57
August 29	@ Yankees	4 – 3 (20)	Brandon (5–11)	75–58
August 30	@ Yankees	2 – 1 (11)	Downing (12–8)	76–58
August 31	White Sox	4–2	Bell (10–11)	76–59
