Date	Opponent	Score	Loss	Attendance	Record
September 1	@ Boston Red Sox	7-3	Lowe (3-8)	28,150	63-74
September 2	@ Boston Red Sox	3-7	Ayala (1-10)	25,813	63-75
September 4	Baltimore Orioles	1-10	Spoljaric (4-4)	27,404	63-76
September 5	Baltimore Orioles	6-5	Benitez (5-4)	43,831	64-76
September 6	Baltimore Orioles	2-5	Fassero (10-12)	30,285	64-77
September 7	Baltimore Orioles	11-1	Drabek (6-11)	24,229	65-77
September 8	Tampa Bay Devil Rays	0-10	Suzuki (0-1)	20,679	65-78
September 9	Tampa Bay Devil Rays	5-2	Arrojo (13-12)	22,256	66-78
September 11	@ Kansas City Royals	6-3	Barber (2-3)	DH	67-78
September 11	@ Kansas City Royals	5-8	Swift (11-9)	18,874	67-79
September 12	@ Kansas City Royals	2-5	Moyer (13-9)	28,091	67-80
September 14	@ Minnesota Twins	10-3	Radke (11-14)	9,711	68-80
September 15	@ Minnesota Twins	12-7	Rodriguez (4-6)	8,024	69-80
September 16	@ Oakland Athletics	4-1	Heredia (3-2)	12,371	70-80
September 17	@ Oakland Athletics	8-0	Candiotti (11-16)	11,707	71-80
September 18	@ Anaheim Angels	5-3	DeLucia (2-6)	39,902	72-80
September 19	@ Anaheim Angels	3-5	Spoljaric (4-5)	42,833	72-81
September 20	@ Anaheim Angels	1-3	Abbott (2-1)	42,972	72-82
September 21	Oakland Athletics	5-2	Heredia (3-3)	30,076	73-82
September 22	Oakland Athletics	7-6	Witasick (1-2)	20,908	74-82
September 23	Oakland Athletics	3-8	Slocumb (2-5)	21,182	74-83
September 24	Texas Rangers	3-9	Suzuki (1-2)	22,891	74-84
September 25	Texas Rangers	15-4	Loaiza (9-11)	39,325	75-84
September 26	Texas Rangers	5-2	Gunderson (0-3)	33,147	76-84
September 27	Texas Rangers	6-12	Spoljaric (4-6)	37,986	76-85
