Character	Played by	Season 1	Season 2	Season 3	Season 4	First Appearance
Kendall Knight	Kendall Schmidt	20	29	12	13	Big Time Audition
Carlos Garcia	Carlos Pena, Jr.	20	29	12	13	Big Time Audition
James Diamond	James Maslow	20	29	12	13	Big Time Audition
Logan Mitchell	Logan Henderson	20	29	12	13	Big Time Audition
Gustavo Rocque	Stephen Kramer Glickman	20	28	12	13	Big Time Audition
Katie Knight	Ciara Bravo	19	29	12	13	Big Time Audition
Kelly Wainwright	Tanya Chisholm	19	28	12	13	Big Time Audition
Mrs. Jennifer Knight	Challen Cates	16	20	7	11	Big Time Audition
Arthur Griffin	Matt Riedy	11	13	5	7	Big Time Audition
Camille Roberts	Erin Sanders	13	18	7	8	Big Time Audition
Jo Taylor	Katelyn Tarver	9	12	6	8	Big Time Love Song
Mr. Reginald Bitters	David Anthony Higgins	14	18	5	5	Big Time School of Rocque
Tyler	Tucker Albrizzi	7	2	0	0	Big Time Audition
Tyler's mom	Alyssa Preston	3	1	0	0	Big Time Audition
Guitar Dude	Barnett O'Hara	8	8	0	0	Big Time Audition
Buddha Bob	Daran Norris	5	9	5	10	Big Time Bad Boy
Miss Collins	Tara Strong	2	2	0	0	Big Time School of Rocque
Mercedes Griffin	Carlie Casey	2	0	0	0	Big Time Demos
Rachael	Rachel DiPillo	3	0	0	0	Big Time Love Song
Stephanie King	Tristin Mays	2	0	0	0	Big Time Terror
Marcos	Carlos Alazraqui	2	0	0	0	Big Time Photo Shoot
Hawk	Phil LaMarr	3	1	0	0	Big Time Sparks
Fujisaki	Koji Kataoka	2	0	0	0	Big Time Crib
Ozzie Clark	Stefan van Ray	0	1	0	0	Green Time Rush
Dak Zevon	Curt Hansen	2	0	0	0	Big Time Photo Shoot
Ed Begley, Jr.	Himself	1	1	0	0	Big Time Concert
Jett Stetson	David Cade	0	5	3	4	Welcome Back, Big Time
Freight Train	Stephen Keys	5	1	0	0	Big Time Love Song
Lightning the TV Wonder Dog	Morgan the Dog	5	3	1	0	Big Time Audition
Roberta	Rachel Quaintance	5	0	1	0	Big Time Audition
Dr. Hollywood	Lorenzo Lamas	1	1	0	2	Big Time Love Song
Ted Garcia	Himself	6	1	0	0	Big Time Audition
Mr. X	Fred Tallaksen	5	1	0	0	Big Time Audition
Obdul (Griffin's assistant)	Obdul Reid	11	12	2	3	Big Time Audition
Jo's Driver	Mike Carlucci	0	3	0	0	Big Time Girlfriends
Jenny Tinkler	Sammy Jay Wren	1	1	0	0	Big Time Audition
