Year	Group	Round	Date	Location	Surface	Score	Outcome
2000	Europe/Africa Zone Group II	1R	28–30 April	Šiauliai , Lithuania	Carpet (i)	2–3	Lost
2000	Europe/Africa Zone Group II	PO	21–23 July	Izmir , Turkey	Hard	1–4	Lost
2001	Europe/Africa Zone Group III	RR	16 May	Gaborone , Botswana	Hard	3–0	Won
2001	Europe/Africa Zone Group III	RR	17 May	Gaborone , Botswana	Hard	2–1	Won
2001	Europe/Africa Zone Group III	RR	18 May	Gaborone , Botswana	Hard	1–2	Lost
2001	Europe/Africa Zone Group III	1R	19 May	Gaborone , Botswana	Hard	1–2	Lost
2001	Europe/Africa Zone Group III	F	20 May	Gaborone , Botswana	Hard	2–1	Won
2002	Europe/Africa Zone Group III	RR	3 April	Antalya , Turkey	Clay	1–2	Lost
2002	Europe/Africa Zone Group III	RR	4 April	Antalya , Turkey	Clay	3–0	Won
2002	Europe/Africa Zone Group III	RR	5 April	Antalya , Turkey	Clay	0–3	Lost
2002	Europe/Africa Zone Group III	PO	6 April	Antalya , Turkey	Clay	3–0	Won
2002	Europe/Africa Zone Group III	PO	7 April	Antalya , Turkey	Clay	3–0	Won
2003	Europe/Africa Zone Group III	RR	3 February	Sidi Fredj , Algeria	Clay	3–0	Won
2003	Europe/Africa Zone Group III	RR	4 February	Sidi Fredj , Algeria	Clay	2–1	Won
2003	Europe/Africa Zone Group III	RR	5 February	Sidi Fredj , Algeria	Clay	1–2	Lost
2003	Europe/Africa Zone Group III	PO	6 February	Sidi Fredj , Algeria	Clay	0–3	Lost
2003	Europe/Africa Zone Group III	PO	7 February	Sidi Fredj , Algeria	Clay	1–2	Lost
2004	Europe/Africa Zone Group III	RR	4 February	Kaunas , Lithuania	Carpet (i)	2–1	Won
2004	Europe/Africa Zone Group III	RR	6 February	Kaunas , Lithuania	Carpet (i)	1–2	Lost
2004	Europe/Africa Zone Group III	PO	7 February	Kaunas , Lithuania	Carpet (i)	2–1	Won
2004	Europe/Africa Zone Group III	PO	8 February	Kaunas , Lithuania	Carpet (i)	1–2	Lost
2005	Europe/Africa Zone Group III	RR	27 April	Cairo , Egypt	Clay	2–1	Won
2005	Europe/Africa Zone Group III	RR	28 April	Cairo , Egypt	Clay	3–0	Won
2005	Europe/Africa Zone Group III	RR	29 April	Cairo , Egypt	Clay	1–2	Lost
2005	Europe/Africa Zone Group III	PO	30 April	Cairo , Egypt	Clay	3–0	Won
2005	Europe/Africa Zone Group III	PO	1 May	Cairo , Egypt	Clay	2–1	Won
2006	Europe/Africa Zone Group III	RR	19 July	Banja Luka , Bosnia and Herzegovina	Clay	3–0	Won
2006	Europe/Africa Zone Group III	RR	20 July	Banja Luka , Bosnia and Herzegovina	Clay	1–2	Lost
2006	Europe/Africa Zone Group III	RR	21 July	Banja Luka , Bosnia and Herzegovina	Clay	2–1	Won
2006	Europe/Africa Zone Group III	PO	22 July	Banja Luka , Bosnia and Herzegovina	Clay	2–1	Won
2006	Europe/Africa Zone Group III	PO	23 July	Banja Luka , Bosnia and Herzegovina	Clay	0–3	Lost
2007	Europe/Africa Zone Group III	RR	9 May	Cairo , Egypt	Clay	1–2	Lost
2007	Europe/Africa Zone Group III	RR	10 May	Cairo , Egypt	Clay	2–1	Won
2007	Europe/Africa Zone Group III	RR	11 May	Cairo , Egypt	Clay	2–1	Won
2007	Europe/Africa Zone Group III	PO	12 May	Cairo , Egypt	Clay	2–1	Won
2007	Europe/Africa Zone Group III	PO	13 May	Cairo , Egypt	Clay	1–2	Lost
2008	Europe/Africa Zone Group III	RR	7 May	Yerevan , Armenia	Clay	1–2	Lost
2008	Europe/Africa Zone Group III	RR	8 May	Yerevan , Armenia	Clay	3–0	Won
2008	Europe/Africa Zone Group III	RR	9 May	Yerevan , Armenia	Clay	2–1	Won
2008	Europe/Africa Zone Group III	PO	10 May	Yerevan , Armenia	Clay	2–1	Won
2008	Europe/Africa Zone Group III	PO	11 May	Yerevan , Armenia	Clay	0–3	Lost
2009	Europe/Africa Zone Group II	1R	6–8 March	Vilnius , Lithuania	Hard (i)	3–2	Won
2009	Europe/Africa Zone Group II	Q	10–12 July	Otočec , Slovenia	Clay	0–5	Lost
