Name	Position	Height	Weight	Age	Home Town	Team/School
Jay Arnette	Guard	6-2	175	21	Austin, TX	Texas
Walt Bellamy	Center	6-11	217	21	Baltimore, MD	Indiana
Bob Boozer	Forward	6-8	220	23	Omaha, NE	Peoria Caterpillars ( Kansas State )
Terry Dischinger	Forward	6-6	190	19	Terre Haute, IN	Purdue
Burdette Haldorson	Forward	6-7	207	26	Austin, MN	Phillips 66ers ( Colorado )
Darrall Imhoff	Center	6-11	220	21	Berkeley, CA	California
Allen Kelley	Guard	5-11	164	27	McCune, KS	Peoria Caterpillars ( Kansas )
Lester Lane	Guard	5-11	165	28	Purcell, OK	Wichita Vickers ( Oklahoma )
Jerry Lucas	Forward	6-8	220	20	Middletown, OH	Ohio State
Oscar Robertson	Forward	6-5	220	21	Indianapolis, IN	Cincinnati
Adrian Smith	Guard	6-0	175	23	Farmington, KY	U.S. Armed Forces ( Kentucky )
