City	Country	IATA	ICAO	Airport
Aberdeen †	United Kingdom	ABZ	EGPD	Aberdeen Airport
Agadir	Morocco	AGA	GMAD	Al Massira Airport
Alicante	Spain	ALC	LEAL	Alicante Airport
Almería	Spain	LEI	LEAM	Almería Airport
Amsterdam	Netherlands	AMS	EHAM	Amsterdam Airport Schiphol
Athens	Greece	ATH	LGAV	Athens Airport
Baltimore	United States	BWI	KBWI	Baltimore-Washington International Airport
Barcelona	Spain	BCN	LEBL	Barcelona–El Prat Airport
Belfast	United Kingdom	BHD	EGAC	George Best Belfast City Airport
Belfast	United Kingdom	BFS	EGAA	Belfast International Airport
Berlin	Germany	SXF	EDDB	Schönefeld Airport
Bilbao	Spain	BIO	LEBB	Bilbao Airport
Birmingham	United Kingdom	BHX	EGBB	Birmingham Airport
Blackpool †	United Kingdom	BLK	EGNH	Blackpool International Airport
Bordeaux	France	BOD	LFBD	Bordeaux–Mérignac Airport
Boston	United States	BOS	KBOS	Logan International Airport
Bournemouth †	United Kingdom	BOH	EGHH	Bournemouth Airport
Bristol †	United Kingdom	BRS	EGGD	Bristol Airport
Brussels	Belgium	BRU	EBBR	Brussels Airport
Bucharest	Romania	OTP	LROP	Henri Coandă International Airport
Budapest	Hungary	BUD	LHBP	Budapest Ferenc Liszt International Airport
Burgas	Bulgaria	BOJ	LBBG	Burgas Airport
Cardiff †	United Kingdom	CWL	EGFF	Cardiff Airport
Catania	Italy	CTA	LICC	Catania-Fontanarossa Airport
Chicago	United States	ORD	KORD	O'Hare International Airport
Copenhagen	Denmark	CPH	EKCH	Copenhagen Airport
Corfu	Greece	CFU	LGKR	Corfu Airport
Cork	Ireland	ORK	EICK	Cork Airport
Derry	United Kingdom	LDY	EGAE	City of Derry Airport
Doncaster / Sheffield	United Kingdom	DSA	EGCN	Robin Hood Airport
Dubai	United Arab Emirates	DXB	OMDB	Dubai International Airport
Dublin	Ireland	DUB	EIDW	Dublin Airport
Dubrovnik	Croatia	DBV	LDDU	Dubrovnik Airport
Durham / Tees Valley	United Kingdom	MME	EGNV	Durham Tees Valley Airport
Düsseldorf	Germany	DUS	EDDL	Düsseldorf Airport
East Midlands	United Kingdom	EMA	EGNX	East Midlands Airport
Edinburgh †	United Kingdom	EDI	EGPH	Edinburgh Airport
Eindhoven	Netherlands	EIN	EHEH	Eindhoven Airport
Faro	Portugal	FAO	LPFR	Faro Airport
Frankfurt am Main	Germany	FRA	EDDF	Frankfurt Airport
Fuerteventura	Spain	FUE	GCFV	Fuerteventura Airport
Funchal	Portugal	FNC	LPMA	Madeira Airport
Galway	Ireland	GWY	EICM	Galway Airport
Geneva	Switzerland	GVA	LSGG	Geneva International Airport
Glasgow †	United Kingdom	GLA	EGPF	Glasgow International Airport
Hamburg	Germany	HAM	EDDH	Hamburg Airport
Helsinki	Finland	HEL	EFHK	Vantaa Airport
Ibiza	Spain	IBZ	LEIB	Ibiza Airport
Isle of Man †	United Kingdom	IOM	EGNS	Isle of Man Airport
Izmir	Turkey	ADB	LTBJ	Adnan Menderes Airport
Jersey	United Kingdom	JER	EGJJ	Jersey Airport
Knock	Ireland	NOC	EIKN	Ireland West Airport Knock
Kraków	Poland	KRK	EPKK	John Paul II Airport
Lanzarote	Spain	ACE	GCRR	Lanzarote Airport
Las Palmas de Gran Canaria	Spain	LPA	GCLP	Gran Canaria Airport
Leeds / Bradford	United Kingdom	LBA	EGNM	Leeds Bradford International Airport
Lisbon	Portugal	LIS	LPPT	Lisbon Portela Airport
Liverpool	United Kingdom	LPL	EGGP	Liverpool John Lennon Airport
London	United Kingdom	LCY	EGLC	London City Airport
London	United Kingdom	LGW	EGKK	Gatwick Airport
London	United Kingdom	LHR	EGLL	London Heathrow Airport
London	United Kingdom	LTN	EGGW	Luton Airport
London †	United Kingdom	SEN	EGMC	Southend Airport
London	United Kingdom	STN	EGSS	Stansted Airport
Los Angeles	United States	LAX	KLAX	Los Angeles International Airport
Lyon	France	LYS	LFLL	Lyon-Saint Exupéry Airport
Madrid	Spain	MAD	LEMD	Madrid-Barajas Airport
Málaga	Spain	AGP	LEMG	Málaga Airport
