Week	Date	Opponent	Score	Result	Attendance	Record
1	June 28	at Toronto Argonauts	24–22	Win	29,157	1–0
2	July 6	vs. Edmonton Eskimos	29–9	Win	32,893	2–0
3	July 13	at Saskatchewan Roughriders	42–12	Win	26,981	3–0
4	July 19	vs. Hamilton Tiger-Cats	22–18	Win	29,045	4–0
5	July 28	at Calgary Stampeders	32–27	Win	28,564	5–0
6	Aug 2	vs. Saskatchewan Roughriders	21–9	Loss	31,858	5–1
7	Aug 10	vs. Winnipeg Blue Bombers	22–21	Loss	31,525	5–2
8	Aug 17	at Calgary Stampeders	45–45	Tie	30,826	5–2–1
9	Bye	Bye	Bye	Bye	Bye	5–2–1
10	Aug 31	vs. Montreal Alouettes	46–14	Win	32,115	6–2–1
11	Sept 9	at Montreal Alouettes	32–14	Loss	20,202	6–3–1
12	Sept 15	vs. Toronto Argonauts	40–7	Win	31,156	7–3–1
13	Sept 22	at Saskatchewan Roughriders	37–34	Win	28,800	8–3–1
14	Sept 29	vs. Calgary Stampeders	42–9	Win	32,263	9–3–1
15	Oct 5	at Winnipeg Blue Bombers	26–20	Win	26,593	10–3–1
16	Oct 13	at Edmonton Eskimos	24–18	Win	33,663	11–3–1
17	Oct 20	vs. Edmonton Eskimos	37–26	Win	37,011	12–3–1
18	Oct 26	at Hamilton Tiger-Cats	27–19	Win	19,322	13–3–1
19	Nov 3	vs. Calgary Stampeders	25–24	Win	34,242	14–3–1
