Ensemble	Gold Medals	Silver Medals	Bronze Medals	Total Medals
Victor J. Andrew HS	0	1	0	1
Arvada HS	1	0	0	1
Avon HS	2	1	0	3
Ayala High School	0	1	0	1
Bellbrook HS	0	1	0	1
Beyer HS	0	0	1	1
Centerville HS	1	0	1	2
Choctawhatchee HS	1	0	0	1
Clear Brook HS	1	1	0	2
Everett HS	0	2	0	2
Father Ryan HS	1	0	0	1
Fountain Valley HS	0	2	2	4
Franklin Central HS	0	1	2	3
Irondale HS	0	0	1	1
King Philip Regional HS	0	1	1	2
Oakland HS	0	0	1	1
Old Bridge HS	0	0	1	1
Pacifica HS	5	2	0	7
Pomona HS	0	1	1	2
Pope HS	0	0	1	1
Rancho Cucamunga HS	1	0	0	1
South Hills HS	2	0	0	2
Tate HS	0	0	2	2
Thomas Worthington HS	1	0	0	1
Trumbull HS	0	2	0	2
Upper Darby HS	1	0	1	2
Valley View HS	0	0	1	1
Victor J. Andrew HS	0	2	0	2
West Carrollton HS	0	1	0	1
Westerville South HS	0	0	1	1
