Outcome	Date	Tournament	Surface	Opponent	Score
Runner-up	13 November 1995	Buenos Aires	Clay	Carlos Moyá	0–6, 3–6
Runner-up	26 May 1996	St. Pölten	Clay	Marcelo Ríos	2–6, 4–6
Winner	10 June 1996	Oporto	Clay	Hernán Gumy	6–7 (5–7) , 6–4, 6–3
Runner-up	14 July 1996	Gstaad	Clay	Albert Costa	6–4, 6–7 (2–7) , 1–6, 0–6
Runner-up	11 August 1996	San Marino	Clay	Albert Costa	6–7 (7–9) , 3–6
Runner-up	18 August 1996	Umag	Clay	Carlos Moyá	0–6, 6–7 (4–7)
Runner-up	12 May 1997	Hamburg	Clay	Andrei Medvedev	0–6, 4–6, 2–6
Winner	9 June 1997	Bologna	Clay	Gustavo Kuerten	4–6, 6–2, 6–1
Winner	7 July 1997	Gstaad	Clay	Juan Albert Viloca	6–1, 6–4, 6–4
Winner	21 July 1997	Umag	Clay	Sergi Bruguera	6–3, 7–5
Winner	4 August 1997	San Marino	Clay	Magnus Gustafsson	6–4, 6–1
Winner	8 September 1997	Bournemouth	Clay	Carlos Moyà	6–2, 6–2
Runner-up	15 February 1998	Dubai	Hard	Àlex Corretja	6–7 (0–7) , 1–6
Runner-up	30 August 1998	Long Island	Hard	Patrick Rafter	6–7 (3–7) , 2–6
Winner	14 September 1998	Bournemouth	Clay	Albert Costa	6–3, 7–5
Winner	12 April 1999	Barcelona	Clay	Karim Alami	7–6 (7–2) , 6–3, 6–3
Runner-up	15 April 2001	Estoril	Clay	Juan Carlos Ferrero	6–7 (3–7) , 6–4, 3–6
Winner	24 September 2001	Palermo	Clay	David Nalbandian	7–6 (7–2) , 6–4
Runner-up	6 January 2002	Doha	Hard	Younes El Aynaoui	6–4, 2–6, 2–6
Runner-up	18 August 2002	Indianapolis	Hard	Greg Rusedski	7–6 (8–6) , 4–6, 4–6
Winner	5 May 2003	Rome	Clay	Roger Federer	7–5, 6–2, 7–6 (10–8)
