Rank	Nation	Gold	Silver	Bronze	Total
1.	Russia	5	4	4	13
2.	Czech Republic	3	2	1	6
3.	Germany	2	5	1	8
4.	Bulgaria	2	2	2	6
5.	Romania	2	2	1	5
6.	France	2	1	2	5
7.	Great Britain	2	1	2	5
8.	Sweden	2	1	0	3
9.	Spain	1	2	1	4
10.	Greece	1	1	1	3
11.	Ireland	1	1	0	2
12.	Latvia	1	0	0	1
13.	Israel	1	0	0	1
14.	Austria	1	0	0	1
15.	Finland	1	0	0	1
16.	Poland	0	1	2	3
17.	Italy	0	1	1	2
18.	Belgium	0	1	1	2
19.	Portugal	0	1	0	1
20.	Slovenia	0	1	0	1
21.	Hungary	0	0	2	2
22.	Ukraine	0	0	2	2
23.	Estonia	0	0	1	1
24.	Netherlands	0	0	1	1
25.	Yugoslavia	0	0	1	1
