Year	Title	Director	Studio(s)	Notes
2010	Green Zone	Paul Greengrass	Universal Pictures	N/A
2010	How to Train Your Dragon	Chris Sanders Dean DeBlois	Paramount Pictures DreamWorks Animation	N/A
2010	Fair Game	Doug Liman	Summit Entertainment	N/A
2010	Knight and Day	James Mangold	20th Century Fox	N/A
2011	Mars Needs Moms	Simon Wells	Walt Disney Pictures ImageMovers Digital	N/A
2011	Rio	Carlos Saldanha	20th Century Fox Blue Sky Studios	N/A
2011	Kung Fu Panda 2	Jennifer Yuh Nelson	Paramount Pictures DreamWorks Animation	with Hans Zimmer
2011	Happy Feet Two	George Miller	Warner Bros. Pictures Animal Logic	N/A
2012	Dr. Seuss' The Lorax	Chris Renaud	Universal Pictures Illumination Entertainment	N/A
2012	Ice Age: Continental Drift	Steve Martino Mike Thurmeier	20th Century Fox Blue Sky Studios	N/A
2014	Rio 2	Carlos Saldanha	20th Century Fox Blue Sky Studios	N/A
2014	How to Train Your Dragon 2	Dean DeBlois	20th Century Fox DreamWorks Animation	N/A
2016	How to Train Your Dragon 3	Dean DeBlois	20th Century Fox DreamWorks Animation	N/A
