Position	Team	Points	Played	Drawn	Lost	Against	Difference
1	São Paulo	77	38	8	7	19	36
2	Santos	62	38	5	14	47	10
3	Flamengo	61	38	10	11	49	6
4	Fluminense	61	38	13	9	39	18
5	Cruzeiro	60	38	6	14	59	15
6	Grêmio	58	38	7	14	43	1
7	Palmeiras	58	38	10	12	47	1
8	Atlético-MG	55	38	10	13	51	12
9	Botafogo	55	38	13	11	58	4
10	Vasco	54	38	9	14	47	11
11	Internacional	54	38	9	14	44	5
12	Atlético-PR	54	38	12	12	50	1
13	Figueirense	53	38	11	13	56	1
14	Sport	51	38	9	15	55	- 1
15	Náutico	49	38	7	17	63	3
16	Goiás	45	38	6	19	62	- 13
17	Corinthians	44	38	14	14	50	- 10
18	Paraná	41	38	7	20	64	- 22
19	Juventude	41	38	8	19	65	- 22
20	América-RN	17	38	5	29	80	- 56
