Season	Date	Venue	Competition	Score	Attendance	Report
1998-99	08.08.1998	Caledonian Stadium	League Cup	0–3	5,164	Sunday Mirror
1999-2000	20.02.2000	Caledonian Stadium	Scottish Cup	1–1	6,290	BBC Sport
1999-2000	29.02.2000	Pittodrie	Scottish Cup	1–0	18,451	Sporting Life
2004-05	16.10.2004	Pittodrie	SPL	1–3	9,530	BBC Sport
2004-05	27.12.2004	Pittodrie	SPL	0–0	18,250	BBC Sport
2004-05	05.02.2005	Pittodrie	Scottish Cup	2–1	10,595	BBC Sport
2004-05	02.04.2005	Caledonian Stadium	SPL	0–1	7,026	BBC Sport
2005-06	15.10.2005	Caledonian Stadium	SPL	1–1	6,809	BBC Sport
2005-06	31.12.2005	Pittodrie	SPL	0–0	12,266	BBC Sport
2005-06	01.04.2006	Caledonian Stadium	SPL	0–1	7,368	BBC Sport
2006-07	05.08.2006	Pittodrie	SPL	1–1	11,955	BBC Sport
2006-07	06.11.2006	Caledonian Stadium	SPL	1–1	5,744	BBC Sport
2006-07	13.01.2007	Pittodrie	SPL	1–1	10,300	BBC Sport
2007-08	21.10.2007	Caledonian Stadium	SPL	1–2	6,023	BBC Sport
2007-08	31.10.2007	Pittodrie	League Cup	4–1	7,270	BBC Sport
2007-08	02.01.2008	Pittodrie	SPL	1–0	13,372	BBC Sport
2007-08	29.03.2008	Caledonian Stadium	SPL	3–4	5,655	BBC Sport
2008-09	29.08.2008	Pittodrie	SPL	0–2	12,659	BBC Sport
2008-09	20.12.2008	Caledonian Stadium	SPL	0–3	5,862	BBC Sport
2008-09	11.04.2009	Pittodrie	SPL	1–0	11,114	BBC Sport
2010-11	02.10.2010	Caledonian Stadium	SPL	2–0	6,144	BBC Sport
2010-11	09.11.2010	Pittodrie	SPL	1–2	5,917	BBC Sport
2010-11	26.01.2011	Caledonian Stadium	SPL	0–2	4,468	BBC Sport
2010-11	30.04.2011	Pittodrie	SPL	1–0	6,280	BBC Sport
2011-12	20.08.2011	Pittodrie	SPL	2–1	7,989	BBC Sport
2011-12	24.12.2011	Caledonian Stadium	SPL	2–1	5,888	BBC Sport
2011-12	24.03.2012	Pittodrie	SPL	0–1	8,939	BBC Sport
2011-12	21.04.2012	Caledonian Stadium	SPL	0–2	3,487	BBC Sport
2012-13	15.09.2012	Caledonian Stadium	SPL	1–1	4,499	BBC Report
2012-13	27.11.2012	Pittodrie	SPL	2–3	9,193	BBC Report
2012-13	19.01.2013	Caledonian Stadium	SPL	3–0	4,734	BBC Report
2013-14	21.09.2013	Pittodrie	Premiership	1–0	11,251	BBC Report
