Name	Height (m)	Height (ft)	Location	Year built
Europaturm	337.5	1,107.3	Ginnheimer Stadtweg 90, Bockenheim	1979
Commerzbank Tower	259.0	849.7	Große Gallusstraße 17–19, Innenstadt	1997
Messeturm	256.5	841.5	Friedrich-Ebert-Anlage 49, Westend-Süd	1990
Westendstraße 1	208.0	682.4	Westendstraße 1, Westend-Süd	1993
Main Tower	200.0	656.2	Neue Mainzer Straße 52–58, Innenstadt	1999
Tower 185	200.0	656.2	Friedrich-Ebert-Anlage 35–37, Gallus	2011
Trianon	186.0	610.2	Mainzer Landstraße 16–24, Westend-Süd	1993
European Central Bank Headquarters [A ]	185.0	607.0	Sonnemannstraße/Rückertstraße, Ostend	2014
Opernturm	170.0	557.7	Bockenheimer Landstraße 2–4, Westend-Süd	2009
Taunusturm [A ]	170.0	557.7	Taunustor 1-3, Innenstadt	2014
Silberturm	166.3	545.6	Jürgen-Ponto-Platz 1, Bahnhofsviertel	1978
Westend Gate	159.3	522.6	Hamburger Allee 2–4, Westend-Süd	1976
Deutsche Bank I	155.0	508.5	Taunusanlage 12, Westend-Süd	1984
Deutsche Bank II	155.0	508.5	Taunusanlage 12, Westend-Süd	1984
Skyper	153.8	504.6	Taunusanlage 1, Bahnhofsviertel	2004
Eurotower	148.0	485.6	Willy-Brandt-Platz 2, Innenstadt	1977
Frankfurter Büro Center	142.4	467.2	Mainzer Landstraße 46, Westend-Süd	1980
City-Haus	142.1	466.2	Platz der Republik 6, Westend-Süd	1974
Gallileo	136.0	446.2	Gallusanlage 7, Bahnhofsviertel	2003
Nextower	136.0	446.2	Thurn-und-Taxis-Platz 6, Innenstadt	2010
Pollux	130.0	426.5	Platz der Einheit 1, Gallus	1997
Garden Tower	127.0	416.7	Neue Mainzer Straße 46-50, Innenstadt	1976
Henninger Turm	120.0	393.7	Hainer Weg 60-64, Sachsenhausen-Süd	1961
Messe Torhaus	117.0	383.9	Ludwig-Erhard-Anlage 1, Bockenheim	1985
AfE-Turm	116.0	380.6	Robert-Mayer-Straße 5-7, Westend-Süd	1972
Japan Center	115.0	377.3	Taunustor 2, Innenstadt	1996
Park Tower	115.0	377.3	Bockenheimer Anlage 46, Westend-Süd	1972
Westhafen Tower	112.3	368.4	Westhafenplatz 1, Gutleutviertel	2003
IBC Tower	112.0	367.5	Theodor-Heuss-Allee 70, Bockenheim	2003
Büro Center Nibelungenplatz	110.0	360.9	Nibelungenplatz 3, Nordend-West	1966
Eurotheum	110.0	360.9	Neue Mainzer Straße 66–68, Innenstadt	1999
Neue Mainzer Straße 32-36	108.6	356.3	Neue Mainzer Straße 32-36, Innenstadt	1973
Holiday Inn Frankfurt City-South	100.0	328.1	Mailänder Straße 1, Sachsenhausen-Süd	1972
