Club	Winners	Runners-up	Third-place	Winning Years	Runners-up years	Third-place years
FC Encamp	3	0	1	2006, 2009, 2012	–	2008
CE Benfica	2	2	1	2007, 2010	2003, 2004	2006
FC Lusitanos B	1	3	2	2011	2001, 2010, 2013	2009, 2012
UE Engordany	1	1	3	2003	2006	2005, 2007, 2011
FC Santa Coloma B	1	1	4	2005	2007	2000, 2001, 2002, 2013
Atlètic Club d'Escaldes	1	1	1	2004	2009	2003
FC Rànger's	1	1	0	2001	2011	–
FC Lusitanos	1	0	0	2000	–	–
FC Ordino	1	0	0	2013	–	–
Racing D'Andorra	1	0	0	2002	–	–
UE Santa Coloma	1	0	0	2008	–	–
UE Extremenya	0	4	1	–	2002, 2005, 2008, 2012	2010
Deportivo La Massana	0	1	1	–	2000	2004
