Tournament	2007	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	1R	1R	4R	3R	3R
French Open	A	1R	A	3R	1R	2R
Wimbledon	A	1R	A	2R	2R	1R
US Open	3R	1R	4R	3R	QF	3R
Win–Loss	2–1	0–4	3–2	8–4	7–4	5–4
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	NH	A	Not Held	Not Held	Not Held	QF
ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000
Indian Wells Masters	A	2R	4R	4R	3R	F
Miami Masters	A	1R	2R	3R	4R	3R
Monte Carlo Masters	A	A	A	A	A	A
Rome Masters	A	A	A	2R	1R	2R
Madrid Masters	A	A	A	3R	2R	2R
Canada Masters	A	A	2R	A	2R	SF
Cincinnati Masters	1R	2R	2R	2R	1R	A
Shanghai Masters	NMS	NMS	1R	2R	A	3R
Paris Masters	A	A	2R	2R	SF	2R
Win–Loss	0–1	2–3	7–6	8–7	9–7	11–7
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
Titles–Finals	0–1	0–0	0–0	1–4	2–3	2–4
Year End Ranking	106	144	34	19	18	14
