Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	CD Málaga	38	54+16	22	10	6	74	39	+35
2	Elche CF	38	50+12	21	8	9	62	34	+28
3	Castilla CF 1	38	48+10	18	12	8	58	42	+16
4	Real Oviedo	38	45+7	19	7	12	58	37	+21
5	Rayo Vallecano	38	45+7	18	9	11	58	47	+11
6	UE Lleida	38	42+4	15	12	11	53	37	+16
7	UE Figueres	38	42+4	14	14	10	44	36	+8
8	Barcelona Atlètic	38	41+3	14	13	11	52	47	+5
9	Xerez CD	38	41+3	17	7	14	49	37	+12
10	Sestao	38	37-1	15	7	16	42	45	-3
11	CD Castellón	38	37-1	12	13	13	34	45	-11
12	CD Tenerife	38	36-2	13	10	15	48	57	-9
13	Real Burgos	38	34-4	11	12	15	34	50	-16
14	Racing de Santander	38	33-5	11	11	16	35	47	-12
15	Recreativo de Huelva	38	33-5	12	9	17	55	71	-16
16	Deportivo de La Coruña	38	31-7	8	15	15	35	47	-12
17	Bilbao Athletic	38	31-7	11	9	18	44	53	-9
18	Hércules CF	38	29-9	10	9	19	46	56	-10
19	Granada CF	38	27-11	8	11	19	36	46	-10
20	Cartagena FC	38	24-14	8	8	22	35	79	-44
