Rider	Manufacturer	Laps	Time/Retired	Grid
Casey Stoner	Ducati	22	44:12.891	4
Valentino Rossi	Yamaha	22	+3.036	1
John Hopkins	Suzuki	22	+6.663	2
Dani Pedrosa	Honda	22	+14.090	5
Marco Melandri	Honda	22	+17.276	6
Loris Capirossi	Ducati	22	+26.256	14
Chris Vermeulen	Suzuki	22	+26.591	15
Randy de Puniet	Kawasaki	22	+27.025	7
Alex Hofmann	Ducati	22	+28.108	11
Carlos Checa	Honda	22	+32.957	13
Colin Edwards	Yamaha	22	+35.053	3
Nicky Hayden	Honda	22	+37.327	9
Sylvain Guintoli	Yamaha	22	+50.705	17
Alex Barros	Ducati	22	+55.264	8
Kenny Roberts, Jr.	KR212V	22	+57.736	16
Shinya Nakano	Honda	3	Accident	10
Makoto Tamada	Yamaha	3	Accident	18
Toni Elías	Honda	0	Accident	12
