Episode #	Title	Airdate	Rating	Share	18-49	Viewers (millions)	Rank
24	"How Betty Got Her Grieve Back" TVPG-DL	September 27, 2007	7.4	12	3.9	11.16	#28
25	"Family/Affair" TVPG-DLSV	October 4, 2007	7.4	11	3.4	9.78	#31
26	"Betty's Wait Problem" TVPG-DLV	October 11, 2007	7.3	11	3.5	10.35	#29
27	"Grin and Bear It" TVPG-DLSV	October 18, 2007	7.8	12	3.1	9.67	#35
28	"A League of Their Own" TVPG-L	October 25, 2007	7.7	12	3.2	9.84	#34
29	"Something Wicked This Way Comes" TVPG-DL	November 1, 2007	7.3	12	3.4	9.90	#27
30	"It's a Nice Day for a Posh Wedding" TVPG-LS	November 8, 2007	7.7	13	3.5	10.89	#25
31	"I See Me, I.C.U." TVPG-DL	November 15, 2007	7.6	14	3.5	10.73	#29
32	"Giving Up the Ghost" TVPG-DL	November 22, 2007	5.3	9	2.2	7.49	#50
33	"Bananas for Betty" TVPG-DLV	December 6, 2007	6.4	10	2.8	9.34	#26
34	"Zero Worship" TVPG-DL	January 10, 2008	6.7	11	3.2	9.89	#27
35	"Odor in the Court" TV14-DL	January 17, 2008	6.4	10	3.0	9.52	#25
36	"A Thousand Words Before Friday" TVPG-DL	January 24, 2008	6.2	10	3.0	8.92	#23
37	"Twenty Four Candles" TVPG-DL	April 24, 2008	6.0	10	2.5	8.52	#32
38	"Burning Questions" TVPG-LV	May 1, 2008	5.6	9	2.4	7.93	#37
39	"Betty's Baby Bump" TVPG-DLS	May 8, 2008	5.6	9	2.4	7.99	#36
40	"The Kids Are Alright" TVPG-DL	May 15, 2008	5.9	10	2.7	8.47	#29
41	"Jump" TVPG-DL	May 22, 2008	6.2	11	2.8	8.75	#17
