No.	#	Title	Directed by	Written by	Patient Portrayer	Original air date	Production code
30	1	"Momma Boone"	Elodie Keene	Ryan Murphy	Kathy Lamkin	September20,2005	2T5951
31	2	"Kiki"	Elodie Keene	Lyn Greene & Richard Levine	Kiki (gorilla)	September27,2005	2T5952
32	3	"Derek, Alex, and Gary"	Craig Zisk	Brad Falchuk	Adam Henderson , Aaron Moody and Graham Miller	October4,2005	2T5953
33	4	"Rhea Reynolds"	Greer Shephard	Jennifer Salt	Tara Buck	October11,2005	2T5954
34	5	"Granville Trapp"	Jeremy Podeswa	Sean Jablonski	Erik Passoja	October18,2005	2T5955
35	6	"Frankenlaura"	Michael M. Robin	Hank Chilton	Valentin Siroon	October25,2005	2T5956
36	7	"Ben White"	Jeremy Podeswa	Lyn Greene & Richard Levine	John Billingsley	November1,2005	2T5957
37	8	"Tommy Bolton"	Guy Ferland	Brad Falchuk	Blair Williamson	November8,2005	2T5958
38	9	"Hannah Tedesco"	Michael M. Robin	Sean Jablonski	Uncredited	November15,2005	2T5959
39	10	"Madison Berg"	Greg Yaitanes	Jennifer Salt	Hallee Hirsh	November22,2005	2T5960
40	11	"Abby Mays"	Michael M. Robin	Hank Chilton	Rebecca Metz	November29,2005	2T5961
41	12	"Sal Perri"	David Nutter	Lyn Greene & Richard Levine	Louis Mustillo	December6,2005	2T5962
42	13	"Joy Kringle"	Greer Shephard	Sean Jablonski & Jennifer Salt	Elizabeth Ruscio	December13,2005	2T5963
43	14	"Cherry Peck"	Craig Zisk	Brad Falchuk & Hank Chilton	Willam Belli	December20,2005	2T5964
