Constituency	Conservative	Labour	Liberal Democrats	Plaid Cymru	Result
Aberavon	TJ Morgan	David Rees	Helen Ceri Clarke	Paul Nicholls Jones	Labour HOLD
Aberconwy	Janet Finch-Saunders	Eifion Wyn Williams	Mike Priestley	Iwan Huws	Conservative GAIN
Alyn and Deeside	John Bell	Carl Sargeant	Peter Williams	Shane Brennan	Labour HOLD
Arfon	Aled Davies	Christina Rees	Rhys Jones	Alun Ffred Jones	Plaid Cymru HOLD
Blaenau Gwent	Bob Haywood	Alun Davies	Martin Blakebrough	Darren Jones	Labour GAIN
Brecon and Radnorshire	Chris Davies	Chris Lloyd	Kirsty Williams	Gary Price	LibDem HOLD
Bridgend	Alex Williams	Carwyn Jones	Briony Davies	Tim Thomas	Labour HOLD
Caerphilly	Owen Meredith	Jeff Cuthbert	Kay David	Ron Davies	Labour HOLD
Cardiff Central	Matt Smith	Jenny Rathbone	Nigel Howells	Chris Williams	Labour GAIN
Cardiff North	Jonathan Morgan	Julie Morgan	Matt Smith	Ben Foday	Labour GAIN
Cardiff South and Penarth	Ben Gray	Vaughan Gething	Sian Anne Cliff	Liz Musa	Labour HOLD
Cardiff West	Craig Williams	Mark Drakeford	David Morgan	Neil McEvoy	Labour HOLD
Carmarthen East and Dinefwr	Henrietta Hensher	Antony Jones	Will Griffiths	Rhodri Glyn Thomas	Plaid Cymru HOLD
Carmarthen West and South Pembrokeshire	Angela Burns	Christine Gwyther	Selwyn Runnett	Nerys Evans	Conservative HOLD
Ceredigion	Luke Evetts	Richard Boudier	Elizabeth Evans	Elin Jones	Plaid Cymru HOLD
Clwyd South	Paul Rogers	Kenneth Skates	Bruce Roberts	Mabon ap Gwynfor	Labour HOLD
Clwyd West	Darren Millar	Crispin Jones	Brian Cossey	Eifion Lloyd Jones	Conservative HOLD
Cynon Valley	Daniel Saxton	Christine Chapman	Ian Walton	Dafydd Trystan Davies	Labour HOLD
Delyn	Matthew Wright	Sandy Mewies	Michele Jones	Carrie Harper	Labour HOLD
Dwyfor Meirionnydd	Simon Baynes	Martyn Singleton	Steve Churchman	Lord Elis-Thomas	Plaid Cymru HOLD
Gower	Caroline Jones	Edwina Hart	Peter May	Darren Price	Labour HOLD
Islwyn	David Chipp	Gwyn Price	Tom Sullivan	Steffan Lewis	Labour HOLD
Llanelli	Andrew Morgan	Keith Davies	Cheryl Philpott	Helen Mary Jones	Labour GAIN
Merthyr Tydfil and Rhymney	Chris O'Brien	Huw Lewis	Amy Kitcher	Noel Turner	Labour HOLD
Monmouth	Nick Ramsay	Mark Whitcutt	Janet Ellard	Fiona Cross	Conservative HOLD
Montgomeryshire	Russell George	Nick Colbourne	Wyn Williams	David Senior	Conservative GAIN
Neath	Alex Powell	Gwenda Thomas	Matthew McCarthy	Alun Llewellyn	Labour HOLD
Newport East	Nick Webb	John Griffiths	Ed Townsend	Chris Paul	Labour HOLD
Newport West	David Williams	Rosemary Butler	Elizabeth Newton	Lyndon Binding	Labour HOLD
Ogmore	Martyn Hughes	Janice Gregory	Gerald Francis	Danny Clark	Labour HOLD
Pontypridd	Joel James	Mick Antoniw	Mike Powell	Ioan Bellin	Labour HOLD
Preseli Pembrokeshire	Paul Davies	Terry Mills	Bob Kilmister	Rhys Sinnett	Conservative HOLD
Rhondda	James Eric Jefferys	Leighton Andrews	George Summers	Sera Evans-Fear	Labour HOLD
Swansea East	Dan Boucher	Michael Hedges	Sam Samuel	Dic Jones	Labour HOLD
Swansea West	Stephen Jenkins	Julie James	Rob Speht	Carl Harris	Labour HOLD
Torfaen	Natasha Asghar	Lynne Neagle	Will Griffiths	Jeff Rees	Labour HOLD
Vale of Clwyd	Ian Gunning	Ann Jones	Heather Prydderch	Alun Lloyd Jones	Labour HOLD
Vale of Glamorgan	Angela Jones-Evans	Jane Hutt	Damian Chick	Ian Johnson	Labour HOLD
Wrexham	John Marek	Lesley Griffiths	Bill Brereton	Marc Jones	Labour HOLD
Ynys Môn	Paul Williams	Joe Lock	Rhys Taylor	Ieuan Wyn Jones	Plaid Cymru HOLD
