Res.	Record	Opponent	Method	Event	Round	Time	Location
NC	22–4 (1)	Pat Healy	NC (overturned)	UFC 159	3	4:02	Newark, New Jersey , United States
Win	22–4	Joe Lauzon	Decision (unanimous)	UFC 155	3	5:00	Las Vegas, Nevada , United States
Loss	21–4	Nate Diaz	Submission (guillotine choke)	UFC on Fox: Diaz vs. Miller	2	4:09	East Rutherford, New Jersey , United States
Win	21–3	Melvin Guillard	Submission (rear naked choke)	UFC on FX: Guillard vs. Miller	1	2:04	Nashville, Tennessee , United States
Loss	20–3	Benson Henderson	Decision (unanimous)	UFC Live: Hardy vs. Lytle	3	5:00	Milwaukee, Wisconsin , United States
Win	20–2	Kamal Shalorus	TKO (knee & punches)	UFC 128	3	2:15	Newark, New Jersey , United States
Win	19–2	Charles Oliveira	Submission (kneebar)	UFC 124	1	1:59	Montreal, Quebec , Canada
Win	18–2	Gleison Tibau	Decision (unanimous)	UFC Fight Night: Marquardt vs. Palhares	3	5:00	Austin, Texas , United States
Win	17–2	Mark Bocek	Decision (unanimous)	UFC 111	3	5:00	Newark, New Jersey , United States
Win	16–2	Duane Ludwig	Submission (armbar)	UFC 108	1	2:31	Las Vegas, Nevada , United States
Win	15–2	Steve Lopez	TKO (shoulder injury)	UFC 103	2	0:48	Dallas, Texas , United States
Win	14–2	Mac Danzig	Decision (unanimous)	UFC 100	3	5:00	Las Vegas, Nevada , United States
Loss	13–2	Gray Maynard	Decision (unanimous)	UFC 96	3	5:00	Columbus, Ohio , United States
Win	13–1	Matt Wiman	Decision (unanimous)	UFC: Fight for the Troops	3	5:00	Fayetteville, North Carolina , United States
Win	12–1	David Baron	Submission (rear naked choke)	UFC 89	3	3:19	Birmingham , England
Win	11–1	Bart Palaszewski	Decision (unanimous)	IFL: New Jersey	3	5:00	East Rutherford, New Jersey , United States
Win	10–1	Chris Liguori	Submission (guillotine choke)	Ring of Combat 18	2	2:22	Atlantic City, New Jersey , United States
Win	9–1	Chris Liguori	TKO (doctor stoppage)	Ring of Combat 17: Beast of the Northeast Finals	2	5:00	Atlantic City, New Jersey , United States
Win	8-1	Nuri Shakir	Submission (rear naked choke)	Battle Cage Xtreme 3	3	2:17	Atlantic City, New Jersey , United States
Win	7–1	Anthony Morrison	Submission (triangle choke)	CFFC 5: Two Worlds, One Cage	1	4:56	Atlantic City, New Jersey , United States
Win	6–1	Al Buck	Submission (rear naked choke)	Cage Fury Fighting Championships 4	1	1:58	Atlantic City, New Jersey , United States
Loss	5–1	Frankie Edgar	Decision (unanimous)	Reality Fighting 14: Fall Brawl	3	5:00	Atlantic City, New Jersey , United States
Win	5–0	James Jones	Submission (triangle choke)	Combat in the Cage: Marked Territory	2	1:55	Lincroft, New Jersey , United States
Win	4–0	Muhsin Corbbrey	Submission (armbar)	RF 13: Battle at the Beach 2006	2	3:35	Wildwood, New Jersey , United States
Win	3–0	Joseph Andujar	Submission (arm triangle choke)	Reality Fighting 12: Return to Boardwalk Hall	1	1:04	Atlantic City, New Jersey , United States
Win	2–0	Kevin Roddy	Submission (rear naked choke)	Reality Fighting 11: Battle at Taj Mahal	1	N/A	Atlantic City, New Jersey , United States
Win	1–0	Eddie Fyvie	Decision (unanimous)	Reality Fighting 10	2	5:00	Atlantic City, New Jersey , United States
