Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 16, 1962	Los Angeles Rams	W 30–27	1–0	Memorial Stadium	54796
2	September 23, 1962	at Minnesota Vikings	W 34–7	2–0	Metropolitan Stadium	30787
3	September 30, 1962	Detroit Lions	L 20–29	2–1	Memorial Stadium	57966
4	October 7, 1962	San Francisco 49ers	L 13–21	2–2	Memorial Stadium	54158
5	October 14, 1962	at Cleveland Browns	W 36–14	3–2	Cleveland Municipal Stadium	80132
6	October 21, 1962	at Chicago Bears	L 15–35	3–3	Wrigley Field	49066
7	October 28, 1962	Green Bay Packers	L 6–17	3–4	Memorial Stadium	57966
8	November 4, 1962	at San Francisco 49ers	W 22–3	4–4	Kezar Stadium	44875
9	November 11, 1962	at Los Angeles Rams	W 14–2	5–4	Los Angeles Memorial Coliseum	39502
10	November 18, 1962	at Green Bay Packers	L 13–17	5–5	Lambeau Field	38669
11	November 25, 1962	Chicago Bears	L 0–57	5–6	Memorial Stadium	56164
12	December 2, 1962	at Detroit Lions	L 14–21	5–7	Tiger Stadium	53012
13	December 8, 1962	Washington Redskins	W 34–21	6–7	Memorial Stadium	56964
