Canton	Years of Kindergarten	Years of Kindergarten provided	Years of Kindergarten legally required	Length of Primary School	Length of mandatory Secondary School	Separate Secondary Schools?	Cooperative Secondary Schools?	Integrated Secondary Schools?
Zurich	2	2	2	6	3	Yes	No	No
Bern	1	1	0	6	3	Yes	Yes	Yes
Lucerne	1	1	1	6	3	Yes	Yes	Yes
Uri	1	1	0	6	3	No	No	Yes
Schwyz	1	1	1	6	3	No	No	Yes
Obwalden	1	1	1	6	3	No	No	Yes
Nidwalden	2	2	1	6	3	No	No	Yes
Glarus	2	2	1	6	3	Yes	Yes	Yes
Zug	2	1	1	6	3	No	No	Yes
Fribourg	2	1 or 2	0 or 2	6	3	Yes	No	Yes
Solothurn	2	2	0	6	3	Yes	Yes	Yes
Basel-Stadt	2	2	2	4	5	Yes	No	No
Basel-Landschaft	2	2	1	5	4	Yes	No	No
Schaffhausen	2	2	1	6	3	No	No	Yes
Appenzell Ausserrhoden	2	2	1	6	3	Yes	Yes	Yes
Appenzell Innerrhoden	2	2	1	6	3	Yes	Yes	Yes
St. Gallen	2	2	2	6	3	No	No	Yes
Graubünden	1	1	0	6	3	Yes	No	No
Aargau	1	1	0	5	4	Yes	No	No
Thurgau	2	2	2	6	3	Yes	No	No
Ticino	3	3	0	5	4	Yes	No	No
Vaud	2	2	0	4	5	Yes	No	No
Valais	1	0	0	6	3	Yes	No	No
Neuchâtel	2	2	0	5	4	Yes	No	No
Geneva	2	2	0	6	3	Yes	No	No
