Season	Episode	Episode Summary	Premier date	External Link	Coach
5	1	Selena is made into a surfer chick.	October 6, 2004	Episode Summary	Brad
5	2	Richard is made into boyfriend material.	October 13, 2004	Episode Summary	Samantha House
5	3	Abby is made into a hip hop dancer.	October 20, 2004	Episode Summary	Cedric Crowe
5	5	Jackie is made into a talent show chowder.	December 30, 2004	Episode Summary	Brian
5	6	Krystle is made into Miss Junior.	January 6, 2005	Episode Summary	Ceylone Boothe-Grooms
5	7	Dov is made into a wrestler.	January 13, 2005	Episode Summary	Gene Mills, Kurt Angle
5	8	Anna is made into a leading lady .	January 20, 2005	Episode Summary	John O'Connell
5	9	Lawryn is made into a BMX biker.	January 27, 2005	Episode Summary	Warwick Stevenson
5	10	Mack is made into a ballet dancer .	February 3, 2005	Episode Summary	Christopher Fleming
5	11	Ian is made into a salsa dancer.	February 10, 2005	Episode Summary	Shaun Perry
