Municipality	No. of Barangays	Area Coordinator	Population (2010)	Pop. density (per km²)
Bangued	31	105.70	51865	415.7
Boliney	8	216.92	4063	18.7
Bucay	21	107.17	17127	167.7
Bucloc	4	63.77	2176	34.1
Daguioman	4	114.37	1715	15.0
Danglas	7	156.02	4734	30.3
Dolores	15	47.45	11499	242.3
La Paz	12	51.41	14882	289.5
Lacub	6	295.30	2977	10.1
Lagangilang	17	101.44	13824	136.3
Lagayan	6	215.97	4477	20.7
Langiden	6	116.29	3170	27.3
Licuan-Baay (Licuan)	11	256.42	4864	19.0
Luba	8	148.27	6391	43.1
Malibcong	12	283.17	3807	13.4
Manabo	11	110.95	10756	96.9
Peñarrubia	9	38.29	6544	170.9
Pidigan	15	49.15	11528	234.5
Pilar	19	66.10	9908	149.9
Sallapadan	9	128.62	5985	46.5
San Isidro	9	48.07	4888	101.7
San Juan	19	64.08	10546	164.6
San Quintin	6	66.59	5233	78.6
Tayum	11	61.14	13940	228.0
Tineg	10	744.80	4668	6.3
Tubo	10	409.87	5719	14.0
