District	s Barangay	Population (2010 census)	Area ( has .)	Pop. density (per km2)
Binondo	10	12,985	66.11	19,641.5
Ermita	13	7,143	158.91	4,495.0
Intramuros	5	4,925	67.26	7,322.3
Malate	57	77,513	259.58	29,860.9
Paco	43	70,978	278.69	25,468.4
Pandacan	38	73,895	166.00	44,515.1
Port Area	5	57,405	315.28	18,207.6
Quiapo	16	24,886	84.69	29,384.8
Sampaloc	192	241,528	513.71	47,016.4
San Andrés	65	115,942	168.02	69,004.9
San Miguel	12	15,992	91.37	17,502.5
San Nicolas	15	44,241	163.85	27,000.9
Santa Ana	34	60,952	169.42	35,976.9
Santa Cruz	82	115,747	309.01	37,457.4
Santa Mesa	51	99,933	261.01	38,287.0
Tondo	259	628,106	865.13	72,602.5
