Month	Week	Offensive	Defensive	Goalkeeper	Rookie
May	1	Jeff Zywicki	Geoff Snider	Mike Gabel	N/A
May	2	John Grant, Jr.	J.J. Morrissey	Brian Dougherty	N/A
May	3	John Grant, Jr.	Peter Vlahakis	Mickey Jarboe	Mike Leveille
June	4	Kyle Dixon	Peter Vlahakis	Chris Garrity	Mike Podgajny
June	5	Brian Langtry	Nicky Polanco	Rob Scherr	Matt Danowski
June	6	Casey Powell	Ryan McClay	Rob Scherr	Paul Rabil
June	7	Michael Powell	Peter Vlahakis	Brian Dougherty	Kevin Huntley
July	8	Merrick Thomson	Peter Vlahakis	Brian Dougherty	Kevin Huntley
July	9	Matt Poskay	Brett Moyer	Mike Levin	Kevin Huntley
July	10	Matt Brown	Brodie Merrill	Kip Turner	Mike Leveille
July	11	John Grant, Jr.	Greg Gurenlian	Mickey Jarboe	Stephen Peyser
August	12	Kevin Huntley	Ryan McClay	Kevin Keenan	Brett Queener
August	13	Andrew Combs	Alex Smith	Matt Vallone	Stephen Peyser
