Series Ep.	Episode	Netflix	Segment A	Segment B	Segment C	Segment D
9-01	105	S05E01	Solid Tires	Cheesecake	Canoe Paddles	s Globe
9-02	106	S05E02	Boomerangs	Barbecues	Pinball Machines	Strobe Lights
9-03	107	S05E03	Wooden Bowls	Chainsaws	Stackable Potato Chips	Jet Compressor Blades
9-04	108	S05E04	Steel Wool	Ranges	Carved Candles	Slot Machines
9-05	109	S05E05	CCD Semiconductors	Airline Meals	Paper Cups	s Trumpet
9-06	110	S05E06	s Padlock	Hair Clippers	Wooden Shoes	Synthetic Leather
9-07	111	S05E07	Racing Shells	Stainless Steel Sinks	Leather	Pedal Steel Guitars
9-08	112	S05E08	Swords	Pontoons	Grandfather Clocks	Fuses
9-09	113	S05E09	Bumpers	Lighting Gels & Camera Filters	Steam-Powered Models	Candy Canes
9-10	114	S05E10	Umbrellas	Outboard Motors	Silver Cutlery	Tape Measures
9-11	115	S05E11	Scalpels	Oil Paint	British Police Helmets	Ice Axes
9-12	116	S05E12	Bacon	s Snowblower	Luxury Cars (Part 1)	Luxury Cars (Part 2)
9-13	117	S05E13	Automatic Transmissions	Silver Miniatures	Hot Air Balloon Baskets	Darts
