Member State	2005	2006	2007	2008	2009	2010	2011	2012
Austria	2.4	3.7	3.7	1.4	−3.8	2.1	2.7	0.8
Belgium	1.8	2.7	2.9	1.0	−2.8	2.4	1.8	−0.3
Bulgaria	6.4	6.5	6.4	6.2	−5.5	0.4	1.8	0.8
Croatia	4.2	4.9	5.1	2.1	−6.9	-2.3	0.0	-2.0
Cyprus	3.9	4.1	5.1	3.6	−1.9	1.3	0.5	−2.4
Czech Republic	6.8	7.0	5.7	3.1	−4.5	2.5	1.9	−1.3
Denmark	2.4	3.4	1.6	−0.8	−5.7	1.6	1.1	−0.5
Estonia	8.9	10.1	7.5	−4.2	−14.1	3.3	8.3	3.2
Finland	2.9	4.4	5.3	0.3	−8.5	3.3	2.8	−0.2
France	1.9	2.7	2.3	−0.1	−3.1	1.7	2.0	0.0
Germany	0.7	3.7	3.3	1.1	−5.1	4.2	3.0	0.7
Greece	2.3	5.5	3.5	−0.2	−3.1	−4.9	−7.1	−6.4
Hungary	4.0	3.9	0.1	0.9	−6.8	1.3	1.6	−1.7
Ireland	5.9	5.4	5.4	−2.1	−5.5	−0.8	1.4	0.9
Italy	0.9	2.2	1.7	−1.2	−5.5	1.8	0.4	−2.4
Latvia	10.1	11.2	9.6	−3.3	−17.7	−0.9	5.5	5.6
Lithuania	7.8	7.8	9.8	2.9	−14.8	1.5	5.9	3.7
Luxembourg	5.3	4.9	6.6	−0.7	−4.1	2.9	1.7	0.3
Malta	3.6	2.6	4.1	3.9	−2.6	2.9	1.7	0.8
Netherlands	2.0	3.4	3.9	1.8	−3.7	1.6	1.0	−1.0
Poland	3.6	6.2	6.8	5.1	1.6	3.9	4.5	1.9
Portugal	0.8	1.4	2.4	0.0	−2.9	1.9	−1.6	−3.2
Romania	4.2	7.9	6.3	7.3	−6.6	−1.1	2.2	0.7
Spain	3.6	4.1	3.5	0.9	−3.7	−0.3	0.4	−1.4
Slovakia	6.7	8.3	10.5	5.8	−4.9	4.4	3.2	2.0
Slovenia	4.0	5.8	7.0	3.4	−7.8	1.2	0.6	−2.3
Sweden	3.2	4.3	3.3	−0.6	−5.0	6.6	3.7	0.7
United Kingdom	2.8	2.6	3.6	−1.0	−4.0	1.8	1.0	0.3
European Union	2.1	3.3	3.2	0.3	−4.3	2.1	1.6	−0.3
Eurozone	1.7	3.2	3.0	0.4	−4.4	2.0	1.4	−0.6
