Week	Date	Opponent	Result	Venue	Attendance
1	September 14, 1968	Atlanta Falcons	W 47-7	Metropolitan Stadium	45,563
2	September 22, 1968	at Green Bay Packers	W 26-13	Milwaukee County Stadium	49,346
3	September 29, 1968	Chicago Bears	L 27-17	Metropolitan Stadium	47,644
4	October 6, 1968	Detroit Lions	W 24-10	Metropolitan Stadium	44,289
5	October 13, 1968	at New Orleans Saints	L 20-17	Tulane Stadium	71,105
6	October 20, 1968	Dallas Cowboys	L 20-7	Metropolitan Stadium	47,644
7	October 27, 1968	at Chicago Bears	L 26-24	Wrigley Field	46,562
8	November 3, 1968	Washington Redskins	W 27-14	Metropolitan Stadium	47,644
9	November 10, 1968	Green Bay Packers	W 14-10	Metropolitan Stadium	47,644
10	November 17, 1968	at Detroit Lions	W 13-6	Tiger Stadium	48,654
11	November 24, 1968	at Baltimore Colts	L 21-9	Memorial Stadium	60,238
12	December 1, 1968	Los Angeles Rams	L 31-3	Metropolitan Stadium	47,644
13	December 8, 1968	at San Francisco 49ers	W 30-20	Kezar Stadium	29,049
14	December 15, 1968	at Philadelphia Eagles	W 24-17	Franklin Field	54,530
