Team	Manager	Captain	Kit manufacturer	Shirt sponsor
Arsenal	Stewart Houston (caretaker)	Tony Adams	Nike	JVC
Aston Villa	Brian Little	Kevin Richardson	Asics	Müller
Blackburn Rovers	Kenny Dalglish	Tim Sherwood	Asics	McEwan's Lager
Chelsea	Glenn Hoddle	Dennis Wise	Umbro	Coors
Coventry City	Ron Atkinson	Brian Borrows	Pony	Peugeot
Crystal Palace	Alan Smith	Gareth Southgate	Nutmeg	TDK
Everton	Joe Royle	Dave Watson	Umbro	NEC
Ipswich Town	George Burley	Steve Palmer	Umbro	Fisons
Leeds United	Howard Wilkinson	Gary McAllister	Asics	Thistle Hotels
Leicester City	Mark McGhee	Steve Walsh	Fox Leisure	Walkers
Liverpool	Roy Evans	Ian Rush	Adidas	Carlsberg
Manchester City	Brian Horton	Keith Curle	Umbro	Brother
Manchester United	Alex Ferguson	Steve Bruce	Umbro	Sharp
Newcastle United	Kevin Keegan	Peter Beardsley	Asics	McEwan's Lager
Norwich City	Gary Megson (caretaker)	Jon Newsome	Ribero	Norwich and Peterborough
Nottingham Forest	Frank Clark	Stuart Pearce	Umbro	Labatt's
Queens Park Rangers	Ray Wilkins	David Bardsley	Clubhouse	Compaq
Sheffield Wednesday	Trevor Francis	Chris Waddle	Puma	Sanderson
Southampton	Alan Ball	Matt Le Tissier	Pony	Dimplex
Tottenham Hotspur	Gerry Francis	Gary Mabbutt	Umbro	Holsten
West Ham United	Harry Redknapp	Steve Potts	Pony	Dagenham Motors
Wimbledon	Joe Kinnear	Vinnie Jones	Ribero	Elonex
