Week 1	Week 2	Week 3	Week 4	Week 5
Stacy Marie	Kaya Danielle*	Tawny Taylor	Samantha Pirie	Madelon Jeanne Cullen
Candice Guerrero	Veronica LaVery*	Lara Leverence	Caitlin Ann	[Month Ended]
Morgan Reese*	Dakota Rivers	Laura Nicole	Kellie Smith	[Month Ended]
Yevgeniya Diordiychuk*	Lily Bart	Krystal Harlow	Miranda Jordan	[Month Ended]
Erin Heidrich	Paizly C	Cassandra Marie	Lauren Elise*	Elizabeth Marxs
Haley Sorenson	Erin Brittany	Nicolette Shea*	Jacinta Rokic	[Month Ended]
Leanna Decker **	Jennifer McCall	Brittany Alyse	April Cheryse	[Month Ended]
Angela Sommers	Christine Mercedes	Andrea Leilani	Kayla Love*	Jessica Vaugn
Kate Hughes*	Allison Taylor	Danielle Trixie	Priscilla Caripan	[Month Ended]
Eden Levine	Kristen Bennett	Jade Bryce*	Lilex	Bre Marie
Sarah Jane	Tiffany Crystal	Shantal Monique	Eliza Carson	[Month Ended]
Dani Dior	Brett Rossi	Tierra Lee*	Kayla Bridges	[Month Ended]
