Driver	Constructor	Laps	Time/Retired	Grid
Didier Pironi	Ferrari	60	1:36:38.887	4
Gilles Villeneuve	Ferrari	60	+ 0.366	3
Michele Alboreto	Tyrrell - Ford	60	+ 1:07.684	5
Jean-Pierre Jarier	Osella - Ford	59	+ 1 Lap	9
Eliseo Salazar	ATS - Ford	57	+ 3 Laps	14
Manfred Winkelhock	ATS - Ford	54	Disqualified	12
Teo Fabi	Toleman - Hart	52	Not classified	10
René Arnoux	Renault	44	Turbo	1
Bruno Giacomelli	Alfa Romeo	24	Engine	6
Riccardo Paletti	Osella - Ford	7	Suspension	13
Alain Prost	Renault	6	Engine	2
Andrea de Cesaris	Alfa Romeo	4	Electrical	7
Brian Henton	Tyrrell - Ford	0	Transmission	11
Derek Warwick	Toleman - Hart	0	Electrical	8
