Year (Ceremony)	English title	Hungarian title	Director	Result
1965 (38th)	Twenty Hours	Húsz óra	Zoltán Fábri	Not Nominated
1966 (39th)	The Round-Up	Szegénylegények	Miklós Jancsó	Not Nominated
1967 (40th)	Father	Apa	István Szabó	Not Nominated
1968 (41st)	The Boys of Paul Street	A Pál utcai fiúk	Zoltán Fábri	Nominee
1969 (42nd)	The Upthrown Stone	Feldobott kő	Sándor Sára	Not Nominated
1970 (43rd)	Lovefilm	Szerelmesfilm	István Szabó	Not Nominated
1971 (44th)	Love	Szerelem	Károly Makk	Not Nominated
1972 (45th)	Present Indicative	Jelenidő	Péter Bacsó	Not Nominated
1973 (46th)	Photography	Fotográfia	Pál Zolnay	Not Nominated
1974 (47th)	Cats' Play	Macskajáték	Károly Makk	Nominee
1975 (48th)	Adoption	Örökbefogadás	Márta Mészáros	Not Nominated
1976 (49th)	The Fifth Seal	Az ötödik pecsét	Zoltán Fábri	Not Nominated
1977 (50th)	A Strange Role	Herkulesfürdöi emlék	Pál Sándor	Not Nominated
1978 (51st)	Hungarians	Magyarok	Zoltán Fábri	Nominee
1979 (52nd)	Angi Vera	Angi Vera	Pál Gábor	Not Nominated
1980 (53rd)	Confidence	Bizalom	István Szabó	Nominee
1981 (54th)	Mephisto	Mephisto	István Szabó	Won Academy Award
1982 (55th)	Time Stands Still	Megáll az idő	Péter Gothár	Not Nominated
1983 (56th)	Job's Revolt	Jób lázadása	Imre Gyöngyössy and Barna Kabay	Nominee
1984 (57th)	Yerma	Yerma	Imre Gyöngyössy and Barna Kabay	Not Nominated
1985 (58th)	Colonel Redl	Redl ezredes	István Szabó	Nominee
1986 (58th)	Cat City	Macskafogó	Béla Ternovszky	Not Nominated
1987 (59th)	Diary for My Loves	Napló szerelmeimnek	Márta Mészáros	Not Nominated
1988 (61st)	Hanussen	Hanussen	István Szabó	Nominee
1989 (62nd)	My 20th Century	Az én XX. századom	Ildikó Enyedi	Not Nominated
1990 (63rd)	Little But Tough	Kicsi, de nagyon erős	Fernec Grunwalsky	Not Nominated
1991 (64th)	Brats	Félálom	János Rózsa	Not Nominated
1992 (65th)	Sweet Emma, Dear Bobe	Édes Emma, drága Böbe - vázlatok, aktok	István Szabó	Not Nominated
1993 (66th)	We Never Die	Sose halunk meg	Róbert Koltai	Not Nominated
1994 (67th)	Woyzeck	Woyzeck	János Szász	Not Nominated
1995 (68th)	The Outpost	A részleg	Péter Gothár	Not Nominated
1996 (69th)	Vaska Easoff	Haggyállógva Vászka	Péter Gothár	Not Nominated
1997 (70th)	The Witman Boys	Witman fiúk	János Szász	Not Nominated
1998 (71st)	Gypsy Lore	Romani kris - Cigánytörvény	Bence Gyöngyössy	Not Nominated
1999 (72nd)	The Lord's Lantern in Budapest	Nekem lámpást adott kezembe az Úr, Pesten	Miklós Jancsó	Not Nominated
2000 (73rd)	Glamour	Glamour	Frigyes Gödrös	Not Nominated
2001 (74th)	Abandoned	Torzók	Árpád Sopsits	Not Nominated
2002 (75th)	Hukkle	Hukkle	György Pálfi	Not Nominated
2003 (76th)	Forest	Rengeteg	Benedek Fliegauf	Not Nominated
2004 (77th)	Kontroll	Kontroll	Nimród Antal	Not Nominated
2005: (78th)	Fateless	Sorstalanság	Lajos Koltai	Not Nominated
2006 (79th)	White Palms	Fehér tenyér	Szabolcs Hajdu	Not Nominated
2007 (80th)	Taxidermia	Taxidermia	György Pálfi	Not Nominated
2008 (81st)	Iska's Journey	Iszka utazása	Csaba Bollók	Not Nominated
2009 (82nd)	Chameleon	Kaméleon	Krisztina Goda	Not Nominated
2010 (83rd)	Bibliothèque Pascal	Bibliothèque Pascal	Szabolcs Hajdu	Not Nominated
2011 (84th)	The Turin Horse	A torinói ló	Béla Tarr	Not Nominated
2012 (85th)	Just the Wind	Csak a szél	Benedek Fliegauf	Not Nominated
