Driver	Constructor	Laps	Time/retired	Grid
Alberto Ascari	Ferrari	80	2:42:39.3	3
José Froilán González	Ferrari	80	+24.6	4
Felice Bonetto Nino Farina	Alfa Romeo	79	+1 lap	7
Luigi Villoresi	Ferrari	79	+1 lap	5
Piero Taruffi	Ferrari	78	+2 laps	6
André Simon	Simca-Gordini	74	+6 laps	11
Louis Rosier	Talbot-Lago - Talbot	73	+7 laps	15
Yves Giraud-Cabantous	Talbot-Lago - Talbot	72	+8 laps	14
Franco Rol	OSCA	67	+13 laps	18
Juan Manuel Fangio	Alfa Romeo	39	Engine	1
Maurice Trintignant	Simca-Gordini	29	Engine	12
Robert Manzon	Simca-Gordini	29	Engine	13
Louis Chiron	Talbot-Lago - Talbot	23	Ignition	17
Pierre Levegh	Talbot-Lago - Talbot	9	Engine	20
Jacques Swaters	Talbot-Lago - Talbot	7	Overheating	22
Nino Farina	Alfa Romeo	6	Engine	2
Johnny Claes	Talbot-Lago - Talbot	4	Oil pump	21
Toulo de Graffenried	Alfa Romeo	1	Compressor	9
Peter Whitehead	Ferrari	1	Magneto	19
Chico Landi	Ferrari	0	Transmission	16
Reg Parnell	BRM	0	Non Starter	8
Ken Richardson	BRM	0	Non Starter	10
