Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	18–2–1 (1)	Erick Silva	KO (punch)	UFC Fight Night: Maia vs. Shields	2	3:01	Barueri , São Paulo , Brazil
Win	17–2–1 (1)	Siyar Bahadurzada	Decision (unanimous)	UFC on Fuel TV: Silva vs. Stann	3	5:00	Saitama , Japan
Win	16–2–1 (1)	Paulo Thiago	Decision (unanimous)	UFC on Fuel TV: Franklin vs. Le	3	5:00	Cotai Strip , Macau
Loss	15–2–1 (1)	Demian Maia	TKO (injury)	UFC 148	1	0:47	Las Vegas, Nevada , United States
Win	15–1–1 (1)	Sean Pierson	Decision (unanimous)	UFC 141	3	5:00	Las Vegas, Nevada , United States
Loss	14–1–1 (1)	Carlos Condit	KO (flying knee & punches)	UFC 132	1	2:58	Las Vegas, Nevada , United States
Win	14–0–1 (1)	Nate Diaz	Decision (unanimous)	UFC 125	3	5:00	Las Vegas, Nevada , United States
Win	13–0–1 (1)	Amir Sadollah	Decision (unanimous)	UFC 114	3	5:00	Las Vegas, Nevada , United States
Win	12–0–1 (1)	TJ Grant	Decision (unanimous)	UFC 100	3	5:00	Las Vegas, Nevada , United States
NC	11–0–1 (1)	Karo Parisyan	NC (overturned)	UFC 94	3	5:00	Las Vegas, Nevada , United States
Win	11–0–1	Matt Brown	Decision (split)	UFC 88	3	5:00	Atlanta, Georgia , United States
Win	10–0–1	Jason Tan	TKO (elbows)	UFC 84	3	0:25	Las Vegas, Nevada , United States
Draw	9–0–1	Hidehiko Hasegawa	Draw	Deep: 32nd Impact	3	5:00	Tokyo , Japan
Win	9–0	Hidehiko Hasegawa	KO (slam and punches)	Deep: 31st Impact	3	4:57	Tokyo , Japan
Win	8–0	Yukiharu Maejima	KO (punches)	Deep: CMA Festival 2	1	0:11	Tokyo , Japan
Win	7–0	Hidenobu Koike	KO (punch)	Deep: 28th Impact	2	4:33	Tokyo , Japan
Win	6–0	Jun Ando	TKO (punches)	Deep: 27th Impact	2	0:44	Tokyo , Japan
Win	5–0	Kousei Kubota	KO (knee)	Deep: 26th Impact	1	2:46	Tokyo , Japan
Win	4–0	Tomoyoshi Iwamiya	Decision (unanimous)	Deep: 25th Impact	2	5:00	Tokyo , Japan
Win	3–0	Mitsunori Tanimura	Submission (rear naked choke)	Deep: CMA Festival	1	4:28	Tokyo , Japan
Win	2–0	Hyung-Kwang Kim	Decision (unanimous)	Spirit MC 5: 2004 GP Unlimited	3	5:00	Seoul , South Korea
Win	1–0	Young-Ahm Noh	Decision (unanimous)	Spirit MC 3: I Will Be Back!!!	3	5:00	Seoul , South Korea
